,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
0,5SVSMJ,,1,fam,barrier-jump,0.8129123984442816,59.986,0.0
1,5SVSMJ,,2,fam,barrier-jump,0.7633995311127768,59.984,0.0
2,5SVSMJ,,3,fam,barrier-jump,0.7713915349007744,58.003,1.344
3,5SVSMJ,,4,fam,barrier-jump,0.836544668499557,58.368,0.271
4,5SVSMJ,,5,fam,barrier-jump,0.7793584563515403,25.104,26.292
5,5SVSMJ,,6,fam,barrier-jump,0.7513863401431026,14.078,28.447
6,5SVSMJ,,7,testA,barrier-jump,0.9175989972917658,4.945,1.871
7,5SVSMJ,,8,testB,barrier-jump,0.972536848272596,4.544,0.656
8,5SVSMJ,,9,testA,barrier-jump,0.6915552572770552,5.6,24.846
9,5SVSMJ,,10,testB,barrier-jump,0.6717066209293107,11.632,16.817
10,B4PKYH,,1,fam,barrier-jump,0.9238520758226514,44.826,13.199
11,B4PKYH,,2,fam,barrier-jump,0.85341102173675,7.222,6.431
12,B4PKYH,,3,fam,barrier-jump,0.9134754701050354,20.347,4.93
13,B4PKYH,,4,fam,barrier-jump,0.933342962863886,34.85,5.261
14,B4PKYH,,5,fam,barrier-jump,0.9398053639330144,11.357,3.401
15,B4PKYH,,6,fam,barrier-jump,0.9207026401780686,5.202,2.969
16,B4PKYH,,7,testA,barrier-jump,0.8571123192086816,1.933,2.537
17,B4PKYH,,8,testB,barrier-jump,0.9703522475266998,5.762,3.482
18,B4PKYH,,9,testA,barrier-jump,0.931980214525606,7.104,2.898
19,B4PKYH,,10,testB,barrier-jump,0.8908859291609298,9.29,3.437
20,BUFC2D,,1,fam,barrier-jump,0.950065344677005,18.665,8.698
21,BUFC2D,,2,fam,barrier-jump,0.9545640783451672,15.632,7.398
22,BUFC2D,,3,fam,barrier-jump,0.9866152359889104,20.815,6.801
23,BUFC2D,,4,fam,barrier-jump,0.9684083070237036,51.502,6.321
24,BUFC2D,,5,fam,barrier-jump,0.9336623786869696,33.335,21.415
25,BUFC2D,,6,fam,barrier-jump,0.935548831793395,8.536,5.426
26,BUFC2D,,7,testA,barrier-jump,0.8952990270596235,23.812,18.118
27,BUFC2D,,8,testB,barrier-jump,0.8416118110929217,5.682,8.485
28,BUFC2D,,9,testA,barrier-jump,0.8208550533946649,9.825,13.94
29,BUFC2D,,10,testB,barrier-jump,0.9276296835679274,2.047,7.943
30,DETK4R,,1,fam,barrier-jump,0.890096465007561,56.139,1.113
31,DETK4R,,2,fam,barrier-jump,0.8847309152575304,45.466,9.302
32,DETK4R,,3,fam,barrier-jump,0.8793194897305942,32.171,23.309
33,DETK4R,,4,fam,barrier-jump,0.8889975010910455,17.509,5.633
34,DETK4R,,5,fam,barrier-jump,0.8817129218950868,12.779,5.528
35,DETK4R,,6,fam,barrier-jump,0.8715577206385681,20.575,2.36
36,DETK4R,,7,testA,barrier-jump,0.9362995749711992,48.016,6.895
37,DETK4R,,8,testB,barrier-jump,0.7929412562822559,6.305,1.906
38,DETK4R,,9,testA,barrier-jump,0.8397436794245018,10.841,3.326
39,DETK4R,,10,testB,barrier-jump,0.8140421501347717,4.255,2.449
40,EPUd7G,,1,fam,barrier-jump,0.759111766387587,17.119,2.4
41,EPUd7G,,2,fam,barrier-jump,0.877777858747272,19.041,3.569
42,EPUd7G,,3,fam,barrier-jump,0.8611801737030296,60.018,0.0
43,EPUd7G,,4,fam,barrier-jump,0.9033956072423668,58.514,0.864
44,EPUd7G,,5,fam,barrier-jump,0.8854669582060709,58.275,0.863
45,EPUd7G,,6,fam,barrier-jump,0.9204485841151188,59.585,0.289
46,EPUd7G,,7,testA,barrier-jump,0.910835093870601,47.872,1.919
47,EPUd7G,,8,testB,barrier-jump,0.8749565280877151,3.04,4.862
48,EPUd7G,,9,testA,barrier-jump,0.9400012765583818,12.672,2.849
49,EPUd7G,,10,testB,barrier-jump,0.8971870033144951,16.672,1.744
50,JA6CUc,,1,fam,barrier-jump,0.8903798301552617,2.8,6.59
51,JA6CUc,,2,fam,barrier-jump,0.8543826496812719,5.485,2.323
52,JA6CUc,,3,fam,barrier-jump,0.9425385039299726,13.265,7.873
53,JA6CUc,,4,fam,barrier-jump,0.8798920086451939,0.207,5.136
54,JA6CUc,,5,fam,barrier-jump,0.9423823559168472,3.358,3.171
55,JA6CUc,,6,fam,barrier-jump,0.9093701594819624,7.937,5.327
56,JA6CUc,,7,testB,barrier-jump,0.8699240560884829,4.418,4.237
57,JA6CUc,,8,testA,barrier-jump,0.9860649065273565,2.736,2.831
58,JA6CUc,,9,testB,barrier-jump,0.9027875740449508,2.812,1.937
59,JA6CUc,,10,testA,barrier-jump,0.9134514005603016,2.351,6.628
60,K524MN,,1,fam,barrier-jump,0.9487733426885526,60.016,0.0
61,K524MN,,2,fam,barrier-jump,0.9507286706040248,60.022,0.0
62,K524MN,,3,fam,barrier-jump,0.9242216909373248,59.997,0.0
63,K524MN,,4,fam,barrier-jump,0.930801485183174,57.605,0.501
64,K524MN,,5,fam,barrier-jump,0.9593314238922382,60.025,0.0
65,K524MN,,6,fam,barrier-jump,0.9457730349615544,59.992,0.0
66,K524MN,,7,testB,barrier-jump,0.935179938526519,58.741,0.798
67,K524MN,,8,testA,barrier-jump,0.9196541957067748,57.494,0.928
68,K524MN,,9,testB,barrier-jump,0.9270562112439176,59.969,0.0
