ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"24WJWG","01/01/18","01/01/21","f","1",0,29039,30175,"off",0,6319,54000,"f",
,,,,,,,,1,41000,42671,"off",1,58220,106000,"f",
,,,,,,,,2,133000,134900,"off",2,109908,150000,"f",
,,,,,,,,3,146686,149455,"off",3,154851,200575,"f",
,,,,,,,,4,163797,165288,"off",4,204835,245021,"f",
,,,,,,,,5,176000,178423,"off",5,249636,274000,"f",
,,,,,,,,6,189073,192836,"off",6,277468,318287,"f",
,,,,,,,,7,227058,228762,"off",7,322056,341000,"f",
,,,,,,,,8,230000,231957,"off",8,342575,356769,"t",
,,,,,,,,9,241826,245021,"off",9,358763,388000,"t",
,,,,,,,,10,257872,259150,"off",10,390926,401004,"t",
,,,,,,,,11,262416,265043,"off",11,403706,435869,"t",
,,,,,,,,12,271149,274000,"off",,,,,
,,,,,,,,13,285846,287692,"off",,,,,
,,,,,,,,14,289751,291384,"off",,,,,
,,,,,,,,15,297703,300756,"off",,,,,
,,,,,,,,16,303241,306223,"off",,,,,
,,,,,,,,17,310554,312045,"off",,,,,
,,,,,,,,18,312323,314601,"off",,,,,
,,,,,,,,19,329724,331073,"off",,,,,
,,,,,,,,20,332706,334268,"off",,,,,
,,,,,,,,21,335049,336682,"off",,,,,
,,,,,,,,22,338528,341000,"off",,,,,
,,,,,,,,23,351663,356420,"off",,,,,
,,,,,,,,24,366076,368277,"off",,,,,
,,,,,,,,25,377081,380205,"off",,,,,
,,,,,,,,26,386950,388000,"off",,,,,
,,,,,,,,27,397671,401004,"off",,,,,
,,,,,,,,28,414711,417054,"off",,,,,
,,,,,,,,29,424793,426994,"off",,,,,
,,,,,,,,30,428982,432177,"off",,,,,
,,,,,,,,31,433946,435869,"off",,,,,
