ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
273QdB,01/01/21,01/01/18,f,1,a,1,1983,5771,1,1983,5771,y
273QdB,01/01/21,01/01/18,f,1,f,2,5772,38739,2,5772,38739,y
273QdB,01/01/21,01/01/18,f,1,t,3,38740,88035,3,38740,60943,y
273QdB,01/01/21,01/01/18,f,1,t,3,38740,88035,4,60944,69887,n
273QdB,01/01/21,01/01/18,f,1,t,3,38740,88035,5,69888,88035,y
273QdB,01/01/21,01/01/18,f,1,a,4,88036,92299,6,88036,92299,y
273QdB,01/01/21,01/01/18,f,1,f,5,92300,131455,7,92300,131455,y
273QdB,01/01/21,01/01/18,f,1,t,6,131456,184703,8,131456,172587,y
273QdB,01/01/21,01/01/18,f,1,t,6,131456,184703,9,172588,174771,n
273QdB,01/01/21,01/01/18,f,1,t,6,131456,184703,10,174772,182103,y
273QdB,01/01/21,01/01/18,f,1,t,6,131456,184703,11,182104,184703,n
273QdB,01/01/21,01/01/18,f,1,a,7,184704,194583,12,184704,194583,y
273QdB,01/01/21,01/01/18,f,1,f,8,194584,227551,13,194584,227551,y
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,14,227552,244399,y
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,15,244400,249079,n
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,16,249080,250899,y
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,17,250900,251939,n
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,18,251940,259427,y
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,19,259428,261143,n
273QdB,01/01/21,01/01/18,f,1,t,9,227552,275703,20,261144,275703,y
273QdB,01/01/21,01/01/18,f,1,a,10,275704,280019,21,275704,280019,y
273QdB,01/01/21,01/01/18,f,1,f,11,280020,314235,22,280020,284023,y
273QdB,01/01/21,01/01/18,f,1,f,11,280020,314235,23,284024,294735,n
273QdB,01/01/21,01/01/18,f,1,f,11,280020,314235,24,294736,314235,y
273QdB,01/01/21,01/01/18,f,1,t,12,314236,363947,25,314236,363947,y
