ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"3GSKJ5","01/01/18","01/01/21","f","1",0,36584,37264,"off",0,5712,52360,"f",
,,,,,,,,1,47328,49300,"off",1,55794,100000,"f",
,,,,,,,,2,76976,80172,"off",2,103972,129234,"f",
,,,,,,,,3,96084,100000,"off",3,132328,154394,"f",
,,,,,,,,4,113750,116960,"off",4,158644,196656,"f",
,,,,,,,,5,125256,129234,"off",5,199920,221136,"f",
,,,,,,,,6,149600,154394,"off",6,221986,237898,"t",
,,,,,,,,7,178738,181628,"off",7,239326,253130,"t",
,,,,,,,,8,207910,212534,"off",8,262582,274074,"t",
,,,,,,,,9,218000,221136,"off",9,274720,284020,"t",
,,,,,,,,10,229024,233716,"off",,,,,
,,,,,,,,11,235824,237898,"off",,,,,
,,,,,,,,12,239326,241400,"off",,,,,
,,,,,,,,13,243270,246296,"off",,,,,
,,,,,,,,14,249628,253130,"off",,,,,
,,,,,,,,15,269688,273843,"off",,,,,
,,,,,,,,16,280398,284020,"off",,,,,
