ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"3JRZDR","01/01/18","01/01/21","f","1",0,18520,20360,"off",0,6800,55960,"f",
,,,,,,,,1,24400,26360,"off",1,59640,105960,"f",
,,,,,,,,2,42320,44040,"off",2,110680,156880,"f",
,,,,,,,,3,46200,50520,"off",3,160920,208160,"f",
,,,,,,,,4,64920,67120,"off",4,212560,226520,"f",
,,,,,,,,5,80400,82120,"off",5,229720,237920,"f",
,,,,,,,,6,91240,94960,"off",6,241400,268720,"f",
,,,,,,,,7,116760,121960,"off",7,270280,309000,"t",
,,,,,,,,8,130440,132080,"off",8,311240,334520,"t",
,,,,,,,,9,135000,137040,"off",,,,,
,,,,,,,,10,143040,145440,"off",,,,,
,,,,,,,,11,148880,150240,"off",,,,,
,,,,,,,,12,171600,173080,"off",,,,,
,,,,,,,,13,178800,188800,"off",,,,,
,,,,,,,,14,190320,191800,"off",,,,,
,,,,,,,,15,193280,201600,"off",,,,,
,,,,,,,,16,202840,208160,"off",,,,,
,,,,,,,,17,215400,217480,"off",,,,,
,,,,,,,,18,218680,220600,"off",,,,,
,,,,,,,,19,221760,225200,"off",,,,,
,,,,,,,,20,234400,236640,"off",,,,,
,,,,,,,,21,253240,254240,"off",,,,,
,,,,,,,,22,259120,261760,"off",,,,,
,,,,,,,,23,265720,268160,"off",,,,,
,,,,,,,,24,277480,280960,"off",,,,,
,,,,,,,,25,287240,291840,"off",,,,,
,,,,,,,,26,297680,298800,"off",,,,,
,,,,,,,,27,300480,302440,"off",,,,,
,,,,,,,,28,304000,305280,"off",,,,,
,,,,,,,,29,308640,309000,"off",,,,,
,,,,,,,,30,333160,334520,"off",,,,,
