ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
3UUGUc,01/01/21,01/01/18,f,1,a,1,1702,5269,1,1702,5269,y
3UUGUc,01/01/21,01/01/18,f,1,f,2,5270,36889,2,5270,36889,y
3UUGUc,01/01/21,01/01/18,f,1,t,3,36890,84251,3,36890,78335,y
3UUGUc,01/01/21,01/01/18,f,1,t,3,36890,84251,4,78336,79797,n
3UUGUc,01/01/21,01/01/18,f,1,t,3,36890,84251,5,79798,84251,y
3UUGUc,01/01/21,01/01/18,f,1,a,4,84252,88229,6,84252,88229,y
3UUGUc,01/01/21,01/01/18,f,1,f,5,88230,127227,7,88230,109989,y
3UUGUc,01/01/21,01/01/18,f,1,f,5,88230,127227,8,109990,111519,n
3UUGUc,01/01/21,01/01/18,f,1,f,5,88230,127227,9,111520,127091,y
3UUGUc,01/01/21,01/01/18,f,1,f,5,88230,127227,10,127092,127227,n
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,11,127228,128451,n
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,12,128452,133585,y
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,13,133586,135251,n
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,14,135252,143921,y
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,15,143922,145247,n
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,16,145248,155311,y
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,17,155312,158643,n
3UUGUc,01/01/21,01/01/18,f,1,t,6,127228,178134,18,158644,178134,y
3UUGUc,01/01/21,01/01/18,f,1,a,7,178135,182783,19,178135,182783,y
3UUGUc,01/01/21,01/01/18,f,1,f,8,182784,214879,20,182784,184857,y
3UUGUc,01/01/21,01/01/18,f,1,f,8,182784,214879,21,184858,187645,e
3UUGUc,01/01/21,01/01/18,f,1,f,8,182784,214879,22,187646,203387,y
3UUGUc,01/01/21,01/01/18,f,1,f,8,182784,214879,23,203388,212669,n
3UUGUc,01/01/21,01/01/18,f,1,f,8,182784,214879,24,212670,214879,y
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,25,214880,224331,y
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,26,224332,225895,n
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,27,225896,232423,y
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,28,232424,234701,n
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,29,234702,253435,y
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,30,253436,255203,n
3UUGUc,01/01/21,01/01/18,f,1,t,9,214880,263533,31,255204,263533,y
3UUGUc,01/01/21,01/01/18,f,1,a,10,263534,266899,32,263534,266899,y
3UUGUc,01/01/21,01/01/18,f,1,f,11,266900,300933,33,266900,294745,y
3UUGUc,01/01/21,01/01/18,f,1,f,11,266900,300933,34,294746,300933,n
3UUGUc,01/01/21,01/01/18,f,1,t,12,300934,350539,35,300934,345983,y
3UUGUc,01/01/21,01/01/18,f,1,t,12,300934,350539,36,345984,350539,n
