ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"5Q7cHW","01/01/18","01/01/21","f","1",0,17544,19924,"off",0,5202,38474,"f",
,,,,,,,,1,21080,27404,"e",1,40018,86870,"t",
,,,,,,,,2,34374,38474,"e",2,90644,122182,"f",
,,,,,,,,3,49946,52122,"off",3,123828,171428,"t",
,,,,,,,,4,57392,60282,"off",4,198254,237000,"f",
,,,,,,,,5,96900,103190,"off",5,238782,284668,"t",
,,,,,,,,6,118116,120258,"off",6,289170,319000,"f",
,,,,,,,,7,129880,132022,"off",7,321470,368730,"t",
,,,,,,,,8,139060,140794,"off",,,,,
,,,,,,,,9,143106,146812,"e",,,,,
,,,,,,,,10,147934,156264,"e",,,,,
,,,,,,,,11,161568,171428,"e",,,,,
,,,,,,,,12,244902,248404,"off",,,,,
,,,,,,,,13,250240,252008,"off",,,,,
,,,,,,,,14,265030,271354,"off",,,,,
,,,,,,,,15,273360,274618,"off",,,,,
,,,,,,,,16,275876,281962,"off",,,,,
,,,,,,,,17,328746,331296,"off",,,,,
,,,,,,,,18,337892,340850,"off",,,,,
,,,,,,,,19,341972,358496,"off",,,,,
,,,,,,,,20,366350,368730,"off",,,,,
