ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
5R7JdZ,01/01/21,01/01/18,f,1,a,1,0,5608,1,0,5608,y
5R7JdZ,01/01/21,01/01/18,f,1,f,2,5609,38907,2,5609,15548,y
5R7JdZ,01/01/21,01/01/18,f,1,f,2,5609,38907,3,15549,17749,n
5R7JdZ,01/01/21,01/01/18,f,1,f,2,5609,38907,4,17750,33653,y
5R7JdZ,01/01/21,01/01/18,f,1,f,2,5609,38907,5,33654,35996,n
5R7JdZ,01/01/21,01/01/18,f,1,f,2,5609,38907,6,35997,38907,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,7,38908,47711,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,8,47712,52397,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,9,52398,54030,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,10,54031,57651,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,11,57652,59710,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,12,59711,61627,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,13,61628,65461,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,14,65462,67236,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,15,67237,69011,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,16,69012,71212,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,17,71213,79306,y
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,18,79307,80939,n
5R7JdZ,01/01/21,01/01/18,f,1,t,3,38908,86974,19,80940,86974,y
5R7JdZ,01/01/21,01/01/18,f,1,a,4,86975,90595,20,86975,90595,y
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,21,90596,99186,y
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,22,99187,101245,n
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,23,101246,108700,y
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,24,108701,110404,n
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,25,110405,112818,y
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,26,112819,114806,n
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,27,114807,120912,y
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,28,120913,123539,n
5R7JdZ,01/01/21,01/01/18,f,1,f,5,90596,125669,29,123540,125669,y
5R7JdZ,01/01/21,01/01/18,f,1,t,6,125670,175724,30,125670,130923,y
5R7JdZ,01/01/21,01/01/18,f,1,t,6,125670,175724,31,130924,132485,n
