ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
5WDNVZ,01/01/21,01/01/18,f,1,a,1,136032,140011,1,136032,140011,y
5WDNVZ,01/01/21,01/01/18,f,1,f,2,140012,170883,2,140012,170883,y
5WDNVZ,01/01/21,01/01/18,f,1,t,3,170884,221135,3,170884,188665,y
5WDNVZ,01/01/21,01/01/18,f,1,t,3,170884,221135,4,188666,189481,n
5WDNVZ,01/01/21,01/01/18,f,1,t,3,170884,221135,5,189482,217055,y
5WDNVZ,01/01/21,01/01/18,f,1,t,3,170884,221135,6,217056,221135,n
5WDNVZ,01/01/21,01/01/18,f,1,a,4,221136,228921,7,221136,228921,y
5WDNVZ,01/01/21,01/01/18,f,1,f,5,228922,262887,8,228922,250817,y
5WDNVZ,01/01/21,01/01/18,f,1,f,5,228922,262887,9,250818,251769,n
5WDNVZ,01/01/21,01/01/18,f,1,f,5,228922,262887,10,251770,262887,y
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,11,262888,270673,y
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,12,270674,272441,n
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,13,272442,301307,y
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,14,301308,304095,n
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,15,304096,309569,y
5WDNVZ,01/01/21,01/01/18,f,1,t,6,262888,310793,16,309570,310793,n
5WDNVZ,01/01/21,01/01/18,f,1,a,7,515405,533595,17,515405,519621,y
5WDNVZ,01/01/21,01/01/18,f,1,a,7,515405,533595,18,519622,527169,n
5WDNVZ,01/01/21,01/01/18,f,1,a,7,515405,533595,19,527170,533595,y
5WDNVZ,01/01/21,01/01/18,f,1,f,8,533596,567833,20,533596,550459,y
5WDNVZ,01/01/21,01/01/18,f,1,f,8,533596,567833,21,550460,551717,n
5WDNVZ,01/01/21,01/01/18,f,1,f,8,533596,567833,22,551718,558347,y
5WDNVZ,01/01/21,01/01/18,f,1,f,8,533596,567833,23,558348,561611,n
5WDNVZ,01/01/21,01/01/18,f,1,f,8,533596,567833,24,561612,567833,y
5WDNVZ,01/01/21,01/01/18,f,1,t,9,567834,613223,25,567834,582929,y
5WDNVZ,01/01/21,01/01/18,f,1,t,9,567834,613223,26,582930,584493,n
5WDNVZ,01/01/21,01/01/18,f,1,t,9,567834,613223,27,584494,588437,y
5WDNVZ,01/01/21,01/01/18,f,1,t,9,567834,613223,28,588438,591735,n
5WDNVZ,01/01/21,01/01/18,f,1,t,9,567834,613223,29,591736,613223,y
5WDNVZ,01/01/21,01/01/18,f,1,a,10,613224,618017,30,613224,618017,y
5WDNVZ,01/01/21,01/01/18,f,1,f,11,618018,648379,31,618018,628353,y
5WDNVZ,01/01/21,01/01/18,f,1,f,11,618018,648379,32,628354,629985,n
5WDNVZ,01/01/21,01/01/18,f,1,f,11,618018,648379,33,629986,632297,y
5WDNVZ,01/01/21,01/01/18,f,1,f,11,618018,648379,34,632298,639539,n
5WDNVZ,01/01/21,01/01/18,f,1,f,11,618018,648379,35,639540,648379,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,36,648380,659123,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,37,659124,660687,n
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,38,660688,662999,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,39,663000,668983,n
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,40,668984,670173,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,41,670174,671091,n
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,42,671092,675103,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,43,675104,686357,n
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,44,686358,687513,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,45,687514,691797,n
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,46,691798,693531,y
5WDNVZ,01/01/21,01/01/18,f,1,t,12,648380,694581,47,693532,694581,n
