ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"6QVVRP","01/01/18","01/01/21","f","1",0,176528,178568,"off",0,5542,51340,"f",
,,,,,,,,1,187136,188564,"off",1,55896,101932,"f",
,,,,,,,,2,227664,228990,"off",2,106488,152456,"f",
,,,,,,,,3,237218,239054,"off",3,156502,202504,"f",
,,,,,,,,4,241502,243304,"off",4,207026,252892,"f",
,,,,,,,,5,243834,245854,"off",5,257346,303416,"f",
,,,,,,,,6,264010,264996,"off",6,307734,353532,"f",
,,,,,,,,7,266424,269178,"off",7,358054,381276,"f",
,,,,,,,,8,290564,292060,"off",8,382670,423606,"t",
,,,,,,,,9,298554,299982,"off",9,424456,445216,"t",
,,,,,,,,10,317628,319838,"off",10,446896,475286,"t",
,,,,,,,,11,325482,330310,"off",,,,,
,,,,,,,,12,338504,339830,"off",,,,,
,,,,,,,,13,344352,348670,"off",,,,,
,,,,,,,,14,364004,367744,"off",,,,,
,,,,,,,,15,373150,381276,"off",,,,,
,,,,,,,,16,402832,406844,"off",,,,,
,,,,,,,,17,409632,410822,"off",,,,,
,,,,,,,,18,421566,423606,"off",,,,,
,,,,,,,,19,430168,433362,"off",,,,,
,,,,,,,,20,439484,445216,"off",,,,,
,,,,,,,,21,452676,461686,"off",,,,,
,,,,,,,,22,470084,475286,"off",,,,,
