ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"7G5JR3","01/01/18","01/01/21","f","1",0,45342,50622,"off",0,5445,38699,"f",
,,,,,,,,1,93984,96921,"off",1,40194,86856,"t",
,,,,,,,,2,120506,122024,"off",2,90783,122024,"f",
,,,,,,,,3,252153,257004,"off",3,124047,170445,"t",
,,,,,,,,4,257961,267003,"off",4,201465,239768,"f",
,,,,,,,,5,269940,278355,"off",5,241494,288222,"t",
,,,,,,,,6,280665,283998,"off",6,291984,322169,"f",
,,,,,,,,7,284691,288222,"off",7,323763,372174,"t",
,,,,,,,,8,296934,303633,"off",8,432630,466191,"f",
,,,,,,,,9,306636,319011,"off",9,467049,512942,"t",
,,,,,,,,10,320298,322169,"off",10,517671,550473,"f",
,,,,,,,,11,328515,337062,"off",11,551298,595931,"t",
,,,,,,,,12,338481,346731,"off",,,,,
,,,,,,,,13,350064,359568,"off",,,,,
,,,,,,,,14,364683,368808,"off",,,,,
,,,,,,,,15,453354,455367,"off",,,,,
,,,,,,,,16,477543,480526,"off",,,,,
,,,,,,,,17,503580,504702,"off",,,,,
,,,,,,,,18,532356,540111,"off",,,,,
,,,,,,,,19,555819,558888,"off",,,,,
,,,,,,,,20,560736,564465,"off",,,,,
,,,,,,,,21,569943,572484,"off",,,,,
,,,,,,,,22,576246,586806,"off",,,,,
,,,,,,,,23,589545,591855,"off",,,,,
