ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"7VNC4V","01/01/18","01/01/21","f","1",0,31926,33592,"off",0,5236,51952,"f",
,,,,,,,,1,46002,48076,"off",1,55658,101626,"f",
,,,,,,,,2,50150,51884,"off",2,105944,117728,"f",
,,,,,,,,3,67184,68816,"off",3,122332,168232,"f",
,,,,,,,,4,70944,73576,"off",4,172414,213336,"f",
,,,,,,,,5,79900,82484,"off",5,217872,258318,"f",
,,,,,,,,6,97682,100402,"off",6,262582,306476,"f",
,,,,,,,,7,113934,117728,"off",7,310590,351220,"f",
,,,,,,,,8,129064,130628,"off",8,352648,368050,"t",
,,,,,,,,9,132022,136578,"off",9,369308,388586,"t",
,,,,,,,,10,142392,144262,"off",10,390082,403090,"t",
,,,,,,,,11,152932,158610,"off",11,404668,415140,"t",
,,,,,,,,12,161126,163200,"off",,,,,
,,,,,,,,13,178942,181764,"off",,,,,
,,,,,,,,14,195432,199172,"off",,,,,
,,,,,,,,15,203490,207196,"off",,,,,
,,,,,,,,16,211718,213336,"off",,,,,
,,,,,,,,17,223210,224706,"off",,,,,
,,,,,,,,18,227086,228276,"off",,,,,
,,,,,,,,19,237864,249628,"e",,,,,
,,,,,,,,20,254048,256802,"off",,,,,
,,,,,,,,21,275706,279922,"off",,,,,
,,,,,,,,22,286722,289646,"off",,,,,
,,,,,,,,23,292672,295494,"off",,,,,
,,,,,,,,24,301478,303416,"off",,,,,
,,,,,,,,25,305388,306476,"off",,,,,
,,,,,,,,26,317220,322864,"off",,,,,
,,,,,,,,27,333302,335818,"off",,,,,
,,,,,,,,28,346290,349894,"off",,,,,
,,,,,,,,29,354926,356252,"e",,,,,
,,,,,,,,30,357646,361454,"e",,,,,
,,,,,,,,31,363392,368050,"off",,,,,
,,,,,,,,32,375326,377128,"off",,,,,
,,,,,,,,33,380358,387022,"off",,,,,
,,,,,,,,34,395794,403090,"e",,,,,
,,,,,,,,35,408476,414086,"e",,,,,
