ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"BHZZPE","01/01/18","01/01/21","f","1",0,44564,45448,"off",0,7644,55172,"f",
,,,,,,,,1,76128,77480,"off",1,64428,110864,"f",
,,,,,,,,2,84968,88660,"off",2,122772,169624,"f",
,,,,,,,,3,94432,95732,"off",3,174408,220480,"f",
,,,,,,,,4,107172,108160,"off",4,225472,271596,"f",
,,,,,,,,5,149500,151424,"off",5,276380,314340,"f",
,,,,,,,,6,155480,157040,"off",6,319332,365612,"f",
,,,,,,,,7,159576,161512,"off",7,370916,417092,"f",
,,,,,,,,8,164788,167076,"off",8,419536,440491,"t",
,,,,,,,,9,188968,190372,"off",9,441532,459264,"t",
,,,,,,,,10,193336,195052,"off",10,461292,497068,"t",
,,,,,,,,11,201136,211588,"e",11,498836,525668,"t",
,,,,,,,,12,231972,234676,"off",,,,,
,,,,,,,,13,240552,242112,"off",,,,,
,,,,,,,,14,246844,252876,"off",,,,,
,,,,,,,,15,249912,252876,"off",,,,,
,,,,,,,,16,254488,256568,"off",,,,,
,,,,,,,,17,257816,259064,"off",,,,,
,,,,,,,,18,260624,261820,"off",,,,,
,,,,,,,,19,264524,266188,"off",,,,,
,,,,,,,,20,267072,268788,"off",,,,,
,,,,,,,,21,286052,288704,"off",,,,,
,,,,,,,,22,296712,304720,"off",,,,,
,,,,,,,,23,311792,315068,"off",,,,,
,,,,,,,,24,329212,332124,"off",,,,,
,,,,,,,,25,334620,335712,"off",,,,,
,,,,,,,,26,344396,346424,"off",,,,,
,,,,,,,,27,348140,351052,"off",,,,,
,,,,,,,,28,354432,356148,"off",,,,,
,,,,,,,,29,359164,362752,"off",,,,,
,,,,,,,,30,378872,380380,"off",,,,,
,,,,,,,,31,381420,382512,"off",,,,,
,,,,,,,,32,385632,387400,"off",,,,,
,,,,,,,,33,391716,393900,"off",,,,,
,,,,,,,,34,424060,426816,"off",,,,,
,,,,,,,,35,428168,437840,"e",,,,,
,,,,,,,,36,447252,449332,"off",,,,,
,,,,,,,,37,450996,455208,"off",,,,,
,,,,,,,,38,456456,459264,"off",,,,,
,,,,,,,,39,467012,473512,"off",,,,,
,,,,,,,,40,474448,477308,"off",,,,,
,,,,,,,,41,478764,483444,"off",,,,,
,,,,,,,,42,485056,487604,"off",,,,,
,,,,,,,,43,491764,493428,"off",,,,,
,,,,,,,,44,494936,497068,"off",,,,,
,,,,,,,,45,503932,512096,"off",,,,,
,,,,,,,,46,513604,518440,"off",,,,,
,,,,,,,,47,519844,525668,"off",,,,,
