ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"BFJAM","01/01/18","01/01/21","f","1",0,5508,8670,"e",0,4794,51714,"f",
,,,,,,,,1,11968,13328,"e",1,55284,76840,"f",
,,,,,,,,2,16184,17782,"e",2,80716,124338,"f",
,,,,,,,,3,24582,26316,"e",3,128044,159358,"f",
,,,,,,,,4,36958,38318,"e",4,163438,184110,"f",
,,,,,,,,5,46036,47926,"e",5,187714,197900,"f",
,,,,,,,,6,64804,67592,"off",6,203116,212350,"f",
,,,,,,,,7,73474,76364,"off",7,214064,241128,"t",
,,,,,,,,8,110092,113594,"off",8,242998,256428,"t",
,,,,,,,,9,121856,124338,"off",,,,,
,,,,,,,,10,144670,147696,"off",,,,,
,,,,,,,,11,155822,159358,"off",,,,,
,,,,,,,,12,171530,175168,"e",,,,,
,,,,,,,,13,181288,184110,"off",,,,,
,,,,,,,,14,194684,197900,"off",,,,,
,,,,,,,,15,208794,212350,"off",,,,,
,,,,,,,,16,222904,224570,"off",,,,,
,,,,,,,,17,228786,229976,"off",,,,,
,,,,,,,,18,234464,240958,"off",,,,,
