ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"BMYAFZ","01/01/18","01/01/21","f","1",0,30709,35475,"off",0,8976,50447,"f",
,,,,,,,,1,43581,50447,"off",1,56463,95931,"f",
,,,,,,,,2,88454,92598,"e",2,100650,127644,"f",
,,,,,,,,3,120872,127644,"off",3,133650,157674,"f",
,,,,,,,,4,152988,157674,"off",4,163614,188364,"f",
,,,,,,,,5,170313,171162,"off",5,194667,206547,"f",
,,,,,,,,6,184008,188364,"off",6,210870,223674,"f",
,,,,,,,,7,201630,206547,"off",7,225885,234498,"t",
,,,,,,,,8,218658,221826,"off",8,237369,250371,"t",
,,,,,,,,9,230439,234498,"off",9,260898,276606,"t",
,,,,,,,,10,243870,247104,"off",10,278157,285981,"t",
,,,,,,,,11,271722,274428,"off",,,,,
,,,,,,,,12,284592,285981,"off",,,,,
