ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
ECPAC2,01/01/21,01/01/18,f,1,a,1,1669,5809,1,1669,5809,y
ECPAC2,01/01/21,01/01/18,f,1,f,2,5810,36924,2,5810,10534,y
ECPAC2,01/01/21,01/01/18,f,1,f,2,5810,36924,3,10535,11829,n
ECPAC2,01/01/21,01/01/18,f,1,f,2,5810,36924,4,11830,36924,y
ECPAC2,01/01/21,01/01/18,f,1,t,3,36925,60966,5,36925,47809,y
ECPAC2,01/01/21,01/01/18,f,1,t,3,36925,60966,6,47810,49174,n
ECPAC2,01/01/21,01/01/18,f,1,t,3,36925,60966,7,49175,54179,y
ECPAC2,01/01/21,01/01/18,f,1,t,3,36925,60966,8,54180,60549,n
ECPAC2,01/01/21,01/01/18,f,1,t,3,36925,60966,9,60550,60966,y
ECPAC2,01/01/21,01/01/18,f,1,e,4,60967,84839,10,60967,84839,e
ECPAC2,01/01/21,01/01/18,f,1,t,5,84840,130059,11,84840,97859,y
ECPAC2,01/01/21,01/01/18,f,1,t,5,84840,130059,12,97860,100554,n
ECPAC2,01/01/21,01/01/18,f,1,t,5,84840,130059,13,100555,130059,y
ECPAC2,01/01/21,01/01/18,f,1,a,6,130060,134994,14,130060,134994,y
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,15,134995,158759,y
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,16,158760,160404,n
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,17,160405,168909,y
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,18,168910,169819,n
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,19,169820,171219,y
ECPAC2,01/01/21,01/01/18,f,1,f,7,134995,173879,20,171220,173879,n
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,21,173880,185674,y
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,22,185675,187039,n
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,23,187040,190784,y
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,24,199920,206954,n
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,25,206955,208319,y
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,26,208320,216824,n
ECPAC2,01/01/21,01/01/18,f,1,t,8,173880,221759,27,219135,221759,y
ECPAC2,01/01/21,01/01/18,f,1,a,9,221760,232049,28,221760,226029,y
ECPAC2,01/01/21,01/01/18,f,1,a,9,221760,232049,29,226030,228724,n
ECPAC2,01/01/21,01/01/18,f,1,a,9,221760,232049,30,228725,232049,y
ECPAC2,01/01/21,01/01/18,f,1,f,10,232050,265439,31,232050,245804,y
ECPAC2,01/01/21,01/01/18,f,1,f,10,232050,265439,32,245805,250879,n
ECPAC2,01/01/21,01/01/18,f,1,f,10,232050,265439,33,250880,259559,y
ECPAC2,01/01/21,01/01/18,f,1,f,10,232050,265439,34,259560,261449,n
ECPAC2,01/01/21,01/01/18,f,1,f,10,232050,265439,35,261450,265439,y
ECPAC2,01/01/21,01/01/18,f,1,t,11,265440,312689,36,265440,280104,y
ECPAC2,01/01/21,01/01/18,f,1,t,11,265440,312689,37,280105,281119,n
ECPAC2,01/01/21,01/01/18,f,1,t,11,265440,312689,38,281120,283674,y
ECPAC2,01/01/21,01/01/18,f,1,t,11,265440,312689,39,283675,287034,n
ECPAC2,01/01/21,01/01/18,f,1,t,11,265440,312689,40,287035,312689,y
ECPAC2,01/01/21,01/01/18,f,1,a,12,312690,317064,41,312690,317064,y
ECPAC2,01/01/21,01/01/18,f,1,f,13,317065,351329,42,317065,351329,y
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,43,351330,366554,y
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,44,366555,371139,n
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,45,371140,383109,y
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,46,383110,387029,n
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,47,387030,392244,y
ECPAC2,01/01/21,01/01/18,f,1,t,14,351330,402394,48,392245,402394,n
