ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
FCKcA5,01/01/21,01/01/18,f,1,a,1,1610,5404,1,1610,5404,y
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,2,5405,13191,y
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,3,13192,17033,n
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,4,17034,33999,y
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,5,34000,35223,n
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,6,35224,36583,y
FCKcA5,01/01/21,01/01/18,f,1,f,2,5405,37637,7,36584,37637,n
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,8,37638,44131,y
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,9,44132,49673,n
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,10,49674,57629,y
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,11,57630,59601,n
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,12,59602,67727,y
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,13,67728,68475,n
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,14,68476,78029,y
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,15,78030,78913,n
FCKcA5,01/01/21,01/01/18,f,1,t,3,37638,84965,16,78914,84965,y
FCKcA5,01/01/21,01/01/18,f,1,a,4,84966,88943,17,84966,88943,y
FCKcA5,01/01/21,01/01/18,f,1,f,5,88944,119713,18,88944,101421,y
FCKcA5,01/01/21,01/01/18,f,1,f,5,88944,119713,19,101422,105501,n
FCKcA5,01/01/21,01/01/18,f,1,f,5,88944,119713,20,105502,118047,y
FCKcA5,01/01/21,01/01/18,f,1,f,5,88944,119713,21,118048,119713,n
FCKcA5,01/01/21,01/01/18,f,1,t,6,119714,175201,22,119714,129845,y
FCKcA5,01/01/21,01/01/18,f,1,t,6,119714,175201,23,129846,130933,n
FCKcA5,01/01/21,01/01/18,f,1,t,6,119714,175201,24,130934,138515,y
FCKcA5,01/01/21,01/01/18,f,1,t,6,119714,175201,25,138516,139977,n
