ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
GScUXA,01/01/21,01/01/18,f,1,a,1,3534,7655,1,3534,7655,y
GScUXA,01/01/21,01/01/18,f,1,f,2,7656,41876,2,7656,41876,y
GScUXA,01/01/21,01/01/18,f,1,t,3,41877,89759,3,41877,62501,y
GScUXA,01/01/21,01/01/18,f,1,t,3,41877,89759,4,62502,70520,n
GScUXA,01/01/21,01/01/18,f,1,t,3,41877,89759,5,70521,73094,y
GScUXA,01/01/21,01/01/18,f,1,t,3,41877,89759,6,73095,83489,n
GScUXA,01/01/21,01/01/18,f,1,t,3,41877,89759,7,83490,89759,y
GScUXA,01/01/21,01/01/18,f,1,a,4,89760,93851,8,89760,91343,n
GScUXA,01/01/21,01/01/18,f,1,a,4,89760,93851,9,91344,93851,y
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,10,93852,105797,y
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,11,105798,110780,n
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,12,110781,118568,y
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,13,118569,123452,n
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,14,123453,134342,y
GScUXA,01/01/21,01/01/18,f,1,f,5,93852,135590,15,134343,135590,n
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,16,135591,148235,y
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,17,148236,153383,n
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,18,153384,159587,y
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,19,159588,164372,n
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,20,164373,173645,y
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,21,173646,177242,n
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,22,177243,181004,y
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,23,181005,183248,n
GScUXA,01/01/21,01/01/18,f,1,t,6,135591,186284,24,183249,186284,y
GScUXA,01/01/21,01/01/18,f,1,a,7,186285,195920,25,186285,195920,y
GScUXA,01/01/21,01/01/18,f,1,f,8,195921,229613,26,195921,224894,y
GScUXA,01/01/21,01/01/18,f,1,f,8,195921,229613,27,224895,228425,n
GScUXA,01/01/21,01/01/18,f,1,f,8,195921,229613,28,228426,229613,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,29,229614,236992,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,30,236993,241394,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,31,241395,246773,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,32,246774,247862,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,33,247863,252977,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,34,252978,254099,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,35,254100,256211,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,36,256212,263801,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,37,263802,266177,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,38,266178,267596,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,39,267597,271028,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,40,271029,273107,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,41,273108,274097,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,42,274098,275384,n
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,43,275385,277496,y
GScUXA,01/01/21,01/01/18,f,1,t,9,229614,277892,44,277497,277892,n
GScUXA,01/01/21,01/01/18,f,1,a,10,277893,282347,45,277893,282347,y
GScUXA,01/01/21,01/01/18,f,1,f,11,282348,316860,46,282348,316860,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,47,316861,326369,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,48,326370,329636,n
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,49,329637,337523,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,50,337524,339404,n
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,51,339405,348677,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,52,348678,353033,n
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,53,353034,355772,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,54,355773,356927,n
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,55,356928,358280,y
GScUXA,01/01/21,01/01/18,f,1,t,12,316861,365673,56,358281,364946,n
