ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
HEc5NA,01/01/21,01/01/18,f,1,a,1,2602,5473,1,2602,5473,y
HEc5NA,01/01/21,01/01/18,f,1,f,2,5474,38589,2,5474,16285,y
HEc5NA,01/01/21,01/01/18,f,1,f,2,5474,38589,3,16286,18937,n
HEc5NA,01/01/21,01/01/18,f,1,f,2,5474,38589,4,18938,22099,y
HEc5NA,01/01/21,01/01/18,f,1,f,2,5474,38589,5,22100,34101,n
HEc5NA,01/01/21,01/01/18,f,1,f,2,5474,38589,6,34102,38589,y
HEc5NA,01/01/21,01/01/18,f,1,t,3,38590,85747,7,38590,41853,y
HEc5NA,01/01/21,01/01/18,f,1,t,3,38590,85747,8,41854,52053,n
HEc5NA,01/01/21,01/01/18,f,1,t,3,38590,85747,9,52054,55113,y
HEc5NA,01/01/21,01/01/18,f,1,t,3,38590,85747,10,55114,63307,n
HEc5NA,01/01/21,01/01/18,f,1,t,3,38590,85747,11,63308,85747,y
