ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"HZ53AC","01/01/18","01/01/21","f","1",0,18170,20164,"off",0,7100,52611,"f",
,,,,,,,,1,25341,27619,"off",1,57439,102950,"f",
,,,,,,,,2,39470,41464,"off",2,107281,153076,"f",
,,,,,,,,3,72556,74621,"off",3,157265,203060,"f",
,,,,,,,,4,76319,78171,"off",4,207746,253683,"f",
,,,,,,,,5,118990,121126,"off",5,257801,301040,"f",
,,,,,,,,6,127794,129646,"off",6,305442,317086,"f",
,,,,,,,,7,133000,134332,"off",7,321559,336469,"f",
,,,,,,,,8,143704,145621,"off",8,337676,384601,"t",
,,,,,,,,9,165637,168838,"off",9,386240,409954,"t",
,,,,,,,,10,169684,171536,"off",,,,,
,,,,,,,,11,175299,177571,"off",,,,,
,,,,,,,,12,178000,179914,"off",,,,,
,,,,,,,,13,180476,182470,"off",,,,,
,,,,,,,,14,191268,194398,"off",,,,,
,,,,,,,,15,195386,198303,"off",,,,,
,,,,,,,,16,202000,203060,"off",,,,,
,,,,,,,,17,213923,216337,"off",,,,,
,,,,,,,,18,218325,221520,"off",,,,,
,,,,,,,,19,230318,232596,"off",,,,,
,,,,,,,,20,235000,237495,"off",,,,,
,,,,,,,,21,240000,241826,"off",,,,,
,,,,,,,,22,242246,248500,"off",,,,,
,,,,,,,,23,259221,260428,"off",,,,,
,,,,,,,,24,263978,266818,"off",,,,,
,,,,,,,,25,268238,269729,"off",,,,,
,,,,,,,,26,276190,280166,"off",,,,,
,,,,,,,,27,281373,284568,"off",,,,,
,,,,,,,,28,286343,288047,"off",,,,,
,,,,,,,,29,289396,291384,"off",,,,,
,,,,,,,,30,296283,301040,"off",,,,,
,,,,,,,,31,305507,307359,"off",,,,,
,,,,,,,,32,309773,317086,"off",,,,,
,,,,,,,,33,323760,325038,"off",,,,,
,,,,,,,,34,328375,333842,"off",,,,,
,,,,,,,,35,335191,336469,"off",,,,,
,,,,,,,,36,339025,341581,"off",,,,,
,,,,,,,,37,345415,348326,"off",,,,,
,,,,,,,,38,349817,353154,"off",,,,,
,,,,,,,,39,355852,357059,"off",,,,,
,,,,,,,,40,358337,366289,"off",,,,,
,,,,,,,,41,370265,374448,"off",,,,,
,,,,,,,,42,376010,379353,"off",,,,,
,,,,,,,,43,382903,384601,"off",,,,,
,,,,,,,,44,391843,396961,"off",,,,,
,,,,,,,,45,399440,403351,"off",,,,,
,,,,,,,,46,404203,409954,"off",,,,,
