ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
JSEL4H,01/01/21,01/01/18,f,1,a,1,3284,5745,1,3284,5745,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,2,5746,10369,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,3,10370,17951,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,4,17952,24411,n
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,5,24412,26791,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,6,26792,31721,n
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,7,31722,33931,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,8,33932,37535,n
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,9,37536,39711,y
JSEL4H,01/01/21,01/01/18,f,1,f,2,5746,43485,10,39712,43485,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,11,43486,44879,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,12,44880,47531,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,13,47532,52155,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,14,52156,61879,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,15,61880,65313,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,16,65314,70073,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,17,70074,72895,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,18,72896,74493,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,19,74494,87855,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,20,87856,92581,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,21,92582,96015,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,22,96016,97647,y
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,23,97648,98837,n
JSEL4H,01/01/21,01/01/18,f,1,t,3,43486,99721,24,98838,99721,y
JSEL4H,01/01/21,01/01/18,f,1,a,4,99722,103835,25,99722,103835,y
JSEL4H,01/01/21,01/01/18,f,1,f,5,103836,146709,26,103836,107133,y
JSEL4H,01/01/21,01/01/18,f,1,f,5,103836,146709,27,107134,114205,n
JSEL4H,01/01/21,01/01/18,f,1,f,5,103836,146709,28,114206,118217,y
