ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
JYVEQP,01/01/21,01/01/18,f,1,a,1,1611,5575,1,1611,5575,y
JYVEQP,01/01/21,01/01/18,f,1,f,2,5576,38419,2,5576,38419,y
JYVEQP,01/01/21,01/01/18,f,1,t,3,38420,90133,3,38420,90133,y
JYVEQP,01/01/21,01/01/18,f,1,a,4,90134,93805,4,90134,93805,y
JYVEQP,01/01/21,01/01/18,f,1,f,5,93806,135081,5,93806,125017,y
JYVEQP,01/01/21,01/01/18,f,1,f,5,93806,135081,6,125018,126445,n
JYVEQP,01/01/21,01/01/18,f,1,f,5,93806,135081,7,126446,135081,y
JYVEQP,01/01/21,01/01/18,f,1,t,6,135082,185265,8,135082,170339,y
JYVEQP,01/01/21,01/01/18,f,1,t,6,135082,185265,9,170340,172039,n
JYVEQP,01/01/21,01/01/18,f,1,t,6,135082,185265,10,172040,185265,y
JYVEQP,01/01/21,01/01/18,f,1,a,7,185266,194853,11,185266,194853,y
JYVEQP,01/01/21,01/01/18,f,1,f,8,194854,229159,12,194854,226337,y
JYVEQP,01/01/21,01/01/18,f,1,f,8,194854,229159,13,226338,227289,n
JYVEQP,01/01/21,01/01/18,f,1,f,8,194854,229159,14,227290,229159,y
JYVEQP,01/01/21,01/01/18,f,1,t,9,229160,276487,15,229160,275841,y
JYVEQP,01/01/21,01/01/18,f,1,t,9,229160,276487,16,275842,276487,n
JYVEQP,01/01/21,01/01/18,f,1,a,10,276488,280193,17,276488,280193,y
JYVEQP,01/01/21,01/01/18,f,1,f,11,280194,317220,18,280194,317220,y
JYVEQP,01/01/21,01/01/18,f,1,t,12,317221,369443,19,317221,362779,y
JYVEQP,01/01/21,01/01/18,f,1,t,12,317221,369443,20,362780,365567,n
JYVEQP,01/01/21,01/01/18,f,1,t,12,317221,369443,21,365568,369443,y
JYVEQP,01/01/21,01/01/18,f,1,a,13,369444,393277,22,369444,375019,y
JYVEQP,01/01/21,01/01/18,f,1,a,13,369444,393277,23,375020,378045,n
JYVEQP,01/01/21,01/01/18,f,1,a,13,369444,393277,24,378046,393277,y
JYVEQP,01/01/21,01/01/18,f,1,t,14,393278,426393,25,393278,406129,y
JYVEQP,01/01/21,01/01/18,f,1,t,14,393278,426393,26,406130,407183,n
JYVEQP,01/01/21,01/01/18,f,1,t,14,393278,426393,27,407184,426393,y
JYVEQP,01/01/21,01/01/18,f,1,a,15,426394,472191,28,426394,464949,y
JYVEQP,01/01/21,01/01/18,f,1,a,15,426394,472191,29,464950,467533,n
JYVEQP,01/01/21,01/01/18,f,1,a,15,426394,472191,30,467534,472191,y
JYVEQP,01/01/21,01/01/18,f,1,a,16,472192,475965,31,472192,475965,y
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,32,475966,487831,y
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,33,487832,490551,n
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,34,490552,501193,y
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,35,501194,502621,n
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,36,502622,512889,y
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,37,512890,515643,n
JYVEQP,01/01/21,01/01/18,f,1,f,17,475966,515711,38,515644,515711,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,39,515712,526693,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,40,526694,528291,n
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,41,528292,529787,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,42,529788,532473,n
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,43,532474,541381,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,44,541382,547297,n
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,45,547298,550867,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,46,550868,556035,n
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,47,556036,560319,y
JYVEQP,01/01/21,01/01/18,f,1,t,18,515712,561561,48,560320,561561,n
