ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
McQWFL,01/01/21,01/01/18,f,1,a,1,1642,5507,1,1642,5507,y
McQWFL,01/01/21,01/01/18,f,1,f,2,5508,38147,2,5508,38147,y
McQWFL,01/01/21,01/01/18,f,1,t,3,38148,85985,3,38148,75139,y
McQWFL,01/01/21,01/01/18,f,1,t,3,38148,85985,4,75140,76805,n
McQWFL,01/01/21,01/01/18,f,1,t,3,38148,85985,5,76806,85985,y
McQWFL,01/01/21,01/01/18,f,1,a,4,85986,89963,6,85986,89963,y
McQWFL,01/01/21,01/01/18,f,1,f,5,89964,121073,7,89964,121073,y
McQWFL,01/01/21,01/01/18,f,1,t,6,121074,171359,8,121074,163777,y
McQWFL,01/01/21,01/01/18,f,1,t,6,121074,171359,9,163778,170169,n
McQWFL,01/01/21,01/01/18,f,1,t,6,121074,171359,10,170170,171359,y
McQWFL,01/01/21,01/01/18,f,1,a,7,171360,179075,11,171360,177071,y
McQWFL,01/01/21,01/01/18,f,1,a,7,171360,179075,12,177072,179075,n
McQWFL,01/01/21,01/01/18,f,1,f,8,179076,213247,13,179076,193153,y
McQWFL,01/01/21,01/01/18,f,1,f,8,179076,213247,14,193154,194921,n
McQWFL,01/01/21,01/01/18,f,1,f,8,179076,213247,15,194922,213247,y
McQWFL,01/01/21,01/01/18,f,1,t,9,213248,259827,16,213248,233239,y
McQWFL,01/01/21,01/01/18,f,1,t,9,213248,259827,17,233240,238918,n
McQWFL,01/01/21,01/01/18,f,1,t,9,213248,259827,18,238919,259827,y
McQWFL,01/01/21,01/01/18,f,1,a,10,259828,264451,19,259828,264451,y
McQWFL,01/01/21,01/01/18,f,1,f,11,264452,303415,20,264452,303415,y
McQWFL,01/01/21,01/01/18,f,1,t,12,303416,353837,21,303416,353837,y
McQWFL,01/01/21,01/01/18,f,1,a,13,353838,369891,22,353838,356115,n
McQWFL,01/01/21,01/01/18,f,1,a,13,353838,369891,23,356116,361963,y
McQWFL,01/01/21,01/01/18,f,1,a,13,353838,369891,24,361964,362915,n
McQWFL,01/01/21,01/01/18,f,1,a,13,353838,369891,25,362916,369891,y
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,26,369892,371109,y
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,27,371110,372299,n
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,28,372300,377433,y
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,29,377434,379439,n
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,30,379440,383757,y
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,31,383758,386783,n
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,32,386784,393753,y
McQWFL,01/01/21,01/01/18,f,1,f,14,369892,400281,33,393754,400281,n
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,34,400282,409631,y
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,35,409632,411671,n
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,36,411672,414221,y
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,37,414222,415241,n
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,38,415242,416295,y
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,39,416296,422653,n
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,40,422654,432615,y
McQWFL,01/01/21,01/01/18,f,1,t,15,400282,447983,41,432616,447983,n
McQWFL,01/01/21,01/01/18,f,1,a,16,447984,452471,42,447984,449513,n
McQWFL,01/01/21,01/01/18,f,1,a,16,447984,452471,43,449514,452471,y
McQWFL,01/01/21,01/01/18,f,1,f,17,452472,482969,44,452472,472837,y
McQWFL,01/01/21,01/01/18,f,1,f,17,452472,482969,45,472838,482969,n
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,46,482970,488375,y
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,47,488376,509761,n
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,48,509762,511393,y
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,49,511394,525741,n
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,50,525742,527407,y
McQWFL,01/01/21,01/01/18,f,1,t,18,482970,529101,51,527408,529101,n
