ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
N62TMP,01/01/21,01/01/18,f,1,a,1,1575,5235,1,1575,5235,y
N62TMP,01/01/21,01/01/18,f,1,f,2,5236,37365,2,5236,37365,y
N62TMP,01/01/21,01/01/18,f,1,t,3,37366,85237,3,37366,71943,y
N62TMP,01/01/21,01/01/18,f,1,t,3,37366,85237,4,71944,73337,n
N62TMP,01/01/21,01/01/18,f,1,t,3,37366,85237,5,73338,85237,y
N62TMP,01/01/21,01/01/18,f,1,a,4,85238,89725,6,85238,89725,y
N62TMP,01/01/21,01/01/18,f,1,f,5,89726,129471,7,89726,129471,y
N62TMP,01/01/21,01/01/18,f,1,t,6,129472,185945,8,129472,140827,y
N62TMP,01/01/21,01/01/18,f,1,t,6,129472,185945,9,140828,142765,n
N62TMP,01/01/21,01/01/18,f,1,t,6,129472,185945,10,142766,177955,y
N62TMP,01/01/21,01/01/18,f,1,t,6,129472,185945,11,177956,178805,n
N62TMP,01/01/21,01/01/18,f,1,t,6,129472,185945,12,178806,185945,y
N62TMP,01/01/21,01/01/18,f,1,a,7,185946,197063,13,185946,188937,y
N62TMP,01/01/21,01/01/18,f,1,a,7,185946,197063,14,188938,191385,n
N62TMP,01/01/21,01/01/18,f,1,a,7,185946,197063,15,191386,197063,y
N62TMP,01/01/21,01/01/18,f,1,f,8,197064,230757,16,197064,220217,y
N62TMP,01/01/21,01/01/18,f,1,f,8,197064,230757,17,220218,220897,n
N62TMP,01/01/21,01/01/18,f,1,f,8,197064,230757,18,220898,222087,y
N62TMP,01/01/21,01/01/18,f,1,f,8,197064,230757,19,222088,223107,n
N62TMP,01/01/21,01/01/18,f,1,f,8,197064,230757,20,223108,230757,y
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,21,230758,238407,y
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,22,238408,239767,n
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,23,239768,247825,y
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,24,247826,251803,n
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,25,251804,271999,y
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,26,272000,272917,n
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,27,272918,276113,y
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,28,276114,278561,n
N62TMP,01/01/21,01/01/18,f,1,t,9,230758,279955,29,278562,279955,y
N62TMP,01/01/21,01/01/18,f,1,a,10,279956,284851,30,279956,284851,y
N62TMP,01/01/21,01/01/18,f,1,f,11,284852,316777,31,284852,305659,y
N62TMP,01/01/21,01/01/18,f,1,f,11,284852,316777,32,305660,311541,n
N62TMP,01/01/21,01/01/18,f,1,f,11,284852,316777,33,311542,314465,y
N62TMP,01/01/21,01/01/18,f,1,f,11,284852,316777,34,314466,316777,n
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,35,316778,323067,y
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,36,323068,329357,n
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,37,329358,334559,y
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,38,334560,337619,n
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,39,337620,355639,y
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,40,355640,361011,n
N62TMP,01/01/21,01/01/18,f,1,t,12,316778,366961,41,361012,366961,y
N62TMP,01/01/21,01/01/18,f,1,a,13,366962,384063,42,366962,368015,n
N62TMP,01/01/21,01/01/18,f,1,a,13,366962,384063,43,368016,377433,y
N62TMP,01/01/21,01/01/18,f,1,a,13,366962,384063,44,377434,380901,n
N62TMP,01/01/21,01/01/18,f,1,a,13,366962,384063,45,380902,384063,y
N62TMP,01/01/21,01/01/18,f,1,f,14,384064,416397,46,384064,403239,y
N62TMP,01/01/21,01/01/18,f,1,f,14,384064,416397,47,403240,409835,n
N62TMP,01/01/21,01/01/18,f,1,f,14,384064,416397,48,409836,416397,y
N62TMP,01/01/21,01/01/18,f,1,t,15,416398,463623,49,416398,443427,y
N62TMP,01/01/21,01/01/18,f,1,t,15,416398,463623,50,443428,449819,n
N62TMP,01/01/21,01/01/18,f,1,t,15,416398,463623,51,449820,463623,y
N62TMP,01/01/21,01/01/18,f,1,a,16,463624,468315,52,463624,468315,y
N62TMP,01/01/21,01/01/18,f,1,f,17,468316,506667,53,468316,481473,y
N62TMP,01/01/21,01/01/18,f,1,f,17,468316,506667,54,481474,487321,n
N62TMP,01/01/21,01/01/18,f,1,f,17,468316,506667,55,487322,490483,y
N62TMP,01/01/21,01/01/18,f,1,f,17,468316,506667,56,490484,492455,n
N62TMP,01/01/21,01/01/18,f,1,f,17,468316,506667,57,492456,506667,y
N62TMP,01/01/21,01/01/18,f,1,t,18,506668,552981,58,506668,535669,y
N62TMP,01/01/21,01/01/18,f,1,t,18,506668,552981,59,535670,542333,n
N62TMP,01/01/21,01/01/18,f,1,t,18,506668,552981,60,542334,552981,y
