ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"NFYDcF","01/01/18","01/01/21","f","1",0,89522,98396,"off",0,3638,52632,"f",
,,,,,,,,1,114682,117844,"off",1,56372,98158,"f",
,,,,,,,,2,153578,155210,"off",2,102102,147764,"f",
,,,,,,,,3,169830,171156,"off",3,151572,197642,"f",
,,,,,,,,4,195126,198492,"off",4,201620,239054,"f",
,,,,,,,,5,204204,205258,"off",5,242794,257346,"f",
,,,,,,,,6,209875,211276,"off",6,262990,280874,"f",
,,,,,,,,7,234940,241128,"off",7,285396,306714,"f",
,,,,,,,,8,245752,250478,"off",8,309434,338028,"t",
,,,,,,,,9,254184,256258,"off",9,340238,397902,"t",
,,,,,,,,10,262956,263330,"off",10,398276,410516,"t",
,,,,,,,,11,278120,282642,"off",11,411672,420144,"t",
,,,,,,,,12,300900,307598,"off",,,,,
,,,,,,,,13,323068,327522,"off",,,,,
,,,,,,,,14,333540,338130,"off",,,,,
,,,,,,,,15,354824,358870,"off",,,,,
,,,,,,,,16,382398,398650,"off",,,,,
,,,,,,,,17,405586,412690,"off",,,,,
,,,,,,,,18,419152,420144,"off",,,,,
