ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"PN3WdR","01/01/18","01/01/21","f","1",0,34850,42296,"off",0,6290,53244,"f",
,,,,,,,,1,68884,71128,"off",1,57868,104006,"f",
,,,,,,,,2,74494,81498,"off",2,108188,130376,"f",
,,,,,,,,3,93670,104006,"off",3,133654,178942,"f",
,,,,,,,,4,124236,129939,"off",4,183566,228922,"f",
,,,,,,,,5,144908,146064,"off",5,232900,244324,"f",
,,,,,,,,6,148308,150008,"off",6,249356,294338,"f",
,,,,,,,,7,152388,155958,"off",7,298894,341088,"f",
,,,,,,,,8,160344,167314,"off",8,342088,390320,"t",
,,,,,,,,9,174930,178908,"e",9,391578,439416,"t",
,,,,,,,,10,194412,195942,"off",10,440538,487050,"t",
,,,,,,,,11,198356,199750,"off",11,488308,527816,"t",
,,,,,,,,12,207298,216546,"off",12,542538,587588,"t",
,,,,,,,,13,219674,225556,"off",13,588506,628754,"t",
,,,,,,,,14,239972,244324,"off",,,,,
,,,,,,,,15,272136,294338,"off",,,,,
,,,,,,,,16,313548,314840,"off",,,,,
,,,,,,,,17,325924,328576,"off",,,,,
,,,,,,,,18,334934,341088,"off",,,,,
,,,,,,,,19,345780,350302,"off",,,,,
,,,,,,,,20,356082,358564,"off",,,,,
,,,,,,,,21,368050,369614,"off",,,,,
,,,,,,,,22,372742,383622,"off",,,,,
,,,,,,,,23,395114,423572,"off",,,,,
,,,,,,,,24,427754,432888,"off",,,,,
,,,,,,,,25,437478,439416,"off",,,,,
,,,,,,,,26,442374,445638,"off",,,,,
,,,,,,,,27,449480,458184,"off",,,,,
,,,,,,,,28,461754,462638,"off",,,,,
,,,,,,,,29,465970,467636,"off",,,,,
,,,,,,,,30,469608,477462,"off",,,,,
,,,,,,,,31,495380,501670,"off",,,,,
,,,,,,,,32,511360,514760,"off",,,,,
,,,,,,,,33,516970,527816,"off",,,,,
,,,,,,,,34,547502,557702,"off",,,,,
,,,,,,,,35,572594,576980,"off",,,,,
,,,,,,,,36,600032,605710,"off",,,,,
,,,,,,,,37,610266,615706,"off",,,,,
,,,,,,,,38,621350,628754,"off",,,,,
