ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"PQ3UB2","01/01/18","01/01/21","f","1",0,65156,66985,"off",0,6169,52262,"f",
,,,,,,,,1,75820,77988,"off",1,56168,102232,"f",
,,,,,,,,2,124800,126473,"off",2,107752,151985,"f",
,,,,,,,,3,136641,138408,"off",3,156416,191436,"f",
,,,,,,,,4,175259,176960,"off",4,194342,206283,"f",
,,,,,,,,5,183874,191436,"off",5,210709,222000,"f",
,,,,,,,,6,199115,206283,"off",6,225865,239008,"f",
,,,,,,,,7,211915,222000,"off",7,240315,287291,"t",
,,,,,,,,8,227539,231693,"off",8,288408,309025,"t",
,,,,,,,,9,233556,239008,"off",,,,,
,,,,,,,,10,247351,253306,"off",,,,,
,,,,,,,,11,267629,269962,"off",,,,,
,,,,,,,,12,279788,282359,"off",,,,,
,,,,,,,,13,286606,287291,"off",,,,,
,,,,,,,,14,292347,294848,"off",,,,,
,,,,,,,,15,304991,309025,"off",,,,,
