ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"QG2TTS","01/01/18","01/01/21","f, 1","",0,26316,27710,"off",0,5304,51612,"f",
,,,,,,,,1,30000,31588,"off",1,55964,101456,"f",
,,,,,,,,2,69904,71264,"off",2,105468,140556,"f",
,,,,,,,,3,94078,96662,"off",3,144296,176936,"f",
,,,,,,,,4,123658,127908,"off",4,180846,202198,"f",
,,,,,,,,5,135660,140760,"off",5,206040,246058,"f",
,,,,,,,,6,159562,163744,"off",6,250104,279100,"f",
,,,,,,,,7,172142,177174,"off",7,283050,311100,"f",
,,,,,,,,8,187204,191352,"off",8,313684,323884,"t",
,,,,,,,,9,194616,196384,"off",9,325992,334390,"t",
,,,,,,,,10,198152,202334,"off",10,335614,346120,"t",
,,,,,,,,11,214438,218110,"off",11,347548,364888,"t",
,,,,,,,,12,224774,225522,"off",12,380766,387124,"t",
,,,,,,,,13,233444,237048,"off",13,388586,399801,"t",
,,,,,,,,14,243508,246058,"off",,,,,
,,,,,,,,15,258366,260610,"off",,,,,
,,,,,,,,16,268294,269892,"off",,,,,
,,,,,,,,17,274244,278970,"off",,,,,
,,,,,,,,18,289442,292332,"off",,,,,
,,,,,,,,19,296684,300900,"off",,,,,
,,,,,,,,20,307428,311304,"off",,,,,
,,,,,,,,21,317934,323272,"off",,,,,
,,,,,,,,22,329188,333846,"off",,,,,
,,,,,,,,23,341802,346562,"off",,,,,
,,,,,,,,24,352274,355640,"off",,,,,
,,,,,,,,25,361216,364786,"off",,,,,
,,,,,,,,26,383486,386750,"off",,,,,
,,,,,,,,27,394672,399801,"off",,,,,
