ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"QJN4US","01/01/18","01/01/21","f","1",0,72338,74543,"off",0,5406,50966,"f",
,,,,,,,,1,75004,76704,"off",1,55216,101048,"f",
,,,,,,,,2,82790,85986,"off",2,105060,150620,"f",
,,,,,,,,3,94132,96832,"off",3,154530,185606,"f",
,,,,,,,,4,139114,141338,"off",4,190468,236164,"f",
,,,,,,,,5,180302,185606,"off",5,239904,285668,"f",
,,,,,,,,6,200056,202334,"off",6,289646,318410,"f",
,,,,,,,,7,205870,208556,"off",7,323238,368628,"f",
,,,,,,,,8,220252,221578,"off",8,370056,416112,"t",
,,,,,,,,9,224604,229636,"off",9,417656,463747,"t",
,,,,,,,,10,233784,235164,"off",10,465664,477836,"t",
,,,,,,,,11,255476,257312,"off",11,479298,526014,"t",
,,,,,,,,12,259386,261766,"off",,,,,
,,,,,,,,13,264010,264540,"off",,,,,
,,,,,,,,14,297942,300390,"off",,,,,
,,,,,,,,15,308618,312188,"off",,,,,
,,,,,,,,16,313514,318410,"off",,,,,
,,,,,,,,17,328494,331058,"off",,,,,
,,,,,,,,18,340646,344148,"off",,,,,
,,,,,,,,19,350812,352920,"off",,,,,
,,,,,,,,20,359652,362814,"off",,,,,
,,,,,,,,21,365894,367710,"off",,,,,
,,,,,,,,22,389558,391612,"off",,,,,
,,,,,,,,23,395148,397664,"off",,,,,
,,,,,,,,24,400724,403444,"off",,,,,
,,,,,,,,25,452900,459272,"off",,,,,
,,,,,,,,26,462196,463747,"off",,,,,
,,,,,,,,27,472770,477836,"off",,,,,
,,,,,,,,28,495958,498576,"off",,,,,
,,,,,,,,29,502588,514624,"off",,,,,
,,,,,,,,30,518500,520540,"off",,,,,
,,,,,,,,31,524994,526014,"off",,,,,
