ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
QdY3DB,01/01/21,01/01/18,f,1,a,1,396,5411,1,396,5411,y
QdY3DB,01/01/21,01/01/18,f,1,f,2,5412,39005,2,5412,39005,y
QdY3DB,01/01/21,01/01/18,f,1,t,3,39006,86921,3,39006,86921,y
QdY3DB,01/01/21,01/01/18,f,1,a,4,86922,91343,4,86922,91343,y
QdY3DB,01/01/21,01/01/18,f,1,f,5,91344,123221,5,91344,95633,y
QdY3DB,01/01/21,01/01/18,f,1,f,5,91344,123221,6,95634,96557,n
QdY3DB,01/01/21,01/01/18,f,1,f,5,91344,123221,7,96558,123221,y
QdY3DB,01/01/21,01/01/18,f,1,t,6,123222,172721,8,123222,172721,y
QdY3DB,01/01/21,01/01/18,f,1,a,7,172722,179387,9,172722,179387,y
QdY3DB,01/01/21,01/01/18,f,1,f,8,179388,218657,10,179388,218657,y
QdY3DB,01/01/21,01/01/18,f,1,t,9,218658,266243,11,218658,263603,y
QdY3DB,01/01/21,01/01/18,f,1,t,9,218658,266243,12,263604,265913,n
QdY3DB,01/01/21,01/01/18,f,1,t,9,218658,266243,13,265914,266243,y
QdY3DB,01/01/21,01/01/18,f,1,a,10,266244,270071,14,266244,270071,y
QdY3DB,01/01/21,01/01/18,f,1,f,11,270072,301091,15,270072,301091,y
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,16,301092,320825,y
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,17,320826,325973,n
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,18,325974,332705,y
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,19,332706,338579,n
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,20,338580,341747,y
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,21,341748,343859,n
QdY3DB,01/01/21,01/01/18,f,1,t,12,301092,349667,22,343860,349667,y
