ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
RKN6KW,01/01/21,01/01/18,f,1,a,1,0,5411,1,0,5411,y
RKN6KW,01/01/21,01/01/18,f,1,f,2,5412,39071,2,5412,17093,y
RKN6KW,01/01/21,01/01/18,f,1,f,2,5412,39071,3,17094,20855,n
RKN6KW,01/01/21,01/01/18,f,1,f,2,5412,39071,4,20856,39071,y
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,5,39072,62039,y
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,6,62040,64679,n
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,7,64680,72137,y
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,8,72138,77549,n
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,9,77550,80981,y
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,10,80982,83357,n
RKN6KW,01/01/21,01/01/18,f,1,t,3,39072,87977,11,83358,87977,y
RKN6KW,01/01/21,01/01/18,f,1,a,4,87978,91541,12,87978,91541,y
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,13,91542,109097,y
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,14,109098,110879,n
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,15,110880,111803,y
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,16,111804,113453,n
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,17,113454,118667,y
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,18,118668,121505,n
RKN6KW,01/01/21,01/01/18,f,1,f,5,91542,124013,19,121506,124013,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,20,124014,131405,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,21,131406,133253,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,22,133254,139523,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,23,139524,140117,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,24,140118,141437,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,25,141438,144341,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,26,144342,160643,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,27,160644,163349,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,28,163350,165065,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,29,165066,166385,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,30,166386,169157,y
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,31,169158,171005,n
RKN6KW,01/01/21,01/01/18,f,1,t,6,124014,171929,32,171006,171929,y
RKN6KW,01/01/21,01/01/18,f,1,a,7,171930,179981,33,171930,179981,y
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,34,179982,194699,y
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,35,194700,195755,n
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,36,195756,198263,y
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,37,198264,200507,n
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,38,200508,205523,y
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,39,205524,207899,n
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,40,207900,210605,y
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,41,210606,212453,n
RKN6KW,01/01/21,01/01/18,f,1,f,8,179982,214037,42,212454,214037,y
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,43,214038,235619,y
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,44,235620,236873,n
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,45,236874,246311,y
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,46,246312,250733,n
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,47,250734,252383,y
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,48,252384,260501,n
RKN6KW,01/01/21,01/01/18,f,1,t,9,214038,264659,49,260502,264659,y
RKN6KW,01/01/21,01/01/18,f,1,a,10,264660,269015,50,264660,269015,y
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,51,269016,277463,y
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,52,277464,278255,n
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,53,278256,284855,y
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,54,284856,288089,n
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,55,288090,300233,y
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,56,300234,308021,n
RKN6KW,01/01/21,01/01/18,f,1,f,11,269016,309143,57,308022,309143,y
RKN6KW,01/01/21,01/01/18,f,1,t,12,309144,361481,58,309144,343397,y
RKN6KW,01/01/21,01/01/18,f,1,t,12,309144,361481,59,343398,346037,n
RKN6KW,01/01/21,01/01/18,f,1,t,12,309144,361481,60,346038,359303,y
RKN6KW,01/01/21,01/01/18,f,1,t,12,309144,361481,61,359304,360161,n
RKN6KW,01/01/21,01/01/18,f,1,t,12,309144,361481,62,360162,361481,y
