ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"SdF62S","01/01/18","01/01/21","f","1",0,12158,13702,"off",0,4930,50932,"f",
,,,,,,,,1,15592,18598,"off",1,55080,100368,"f",
,,,,,,,,2,20944,24990,"off",2,104584,150620,"f",
,,,,,,,,3,31688,34068,"off",3,154768,200022,"f",
,,,,,,,,4,35258,38012,"off",4,204068,249832,"f",
,,,,,,,,5,39202,41480,"off",5,253810,289408,"f",
,,,,,,,,6,42874,47124,"off",6,293080,311950,"f",
,,,,,,,,7,64464,67150,"off",7,315792,357102,"f",
,,,,,,,,8,70482,74460,"off",8,358598,367662,"t",
,,,,,,,,9,90950,94962,"off",9,369240,378474,"t",
,,,,,,,,10,111418,116042,"off",10,379950,389694,"t",
,,,,,,,,11,124406,127330,"off",11,391136,413848,"t",
,,,,,,,,12,129642,133042,"off",12,433738,469000,"t",
,,,,,,,,13,134912,137326,"off",13,471104,479781,"t",
,,,,,,,,14,143174,147152,"off",,,,,
,,,,,,,,15,158746,165988,"off",,,,,
,,,,,,,,16,170646,173264,"off",,,,,
,,,,,,,,17,174352,177038,"off",,,,,
,,,,,,,,18,180166,185878,"off",,,,,
,,,,,,,,19,187340,194684,"off",,,,,
,,,,,,,,20,196676,198662,"off",,,,,
,,,,,,,,21,207638,213520,"off",,,,,
,,,,,,,,22,220252,225216,"off",,,,,
,,,,,,,,23,228956,236266,"off",,,,,
,,,,,,,,24,238612,245956,"off",,,,,
,,,,,,,,25,258298,263228,"off",,,,,
,,,,,,,,26,266220,285260,"off",,,,,
,,,,,,,,27,287028,289408,"off",,,,,
,,,,,,,,28,297364,300492,"off",,,,,
,,,,,,,,29,302532,306374,"off",,,,,
,,,,,,,,30,308686,311817,"off",,,,,
,,,,,,,,31,326366,329528,"off",,,,,
,,,,,,,,32,330582,336906,"off",,,,,
,,,,,,,,33,340068,348126,"off",,,,,
,,,,,,,,34,349928,357102,"off",,,,,
,,,,,,,,35,365092,367662,"off",,,,,
,,,,,,,,36,375190,378474,"off",,,,,
,,,,,,,,37,384744,389694,"off",,,,,
,,,,,,,,38,395930,397766,"off",,,,,
,,,,,,,,39,401540,404600,"off",,,,,
,,,,,,,,40,407252,413848,"off",,,,,
,,,,,,,,41,436356,440232,"off",,,,,
,,,,,,,,42,442680,458830,"e",,,,,
,,,,,,,,43,462420,464746,"off",,,,,
,,,,,,,,44,466344,469000,"off",,,,,
,,,,,,,,45,474014,476068,"off",,,,,
,,,,,,,,46,477428,479781,"off",,,,,
