ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
TGA6G7,01/01/21,01/01/18,f,1,a,1,0,4999,1,0,4999,y
TGA6G7,01/01/21,01/01/18,f,1,f,2,5000,37499,2,5000,37499,y
TGA6G7,01/01/21,01/01/18,f,1,t,3,37500,84899,3,37500,59999,y
TGA6G7,01/01/21,01/01/18,f,1,t,3,37500,84899,4,60000,61399,n
TGA6G7,01/01/21,01/01/18,f,1,t,3,37500,84899,5,61400,84899,y
TGA6G7,01/01/21,01/01/18,f,1,a,4,84900,88999,6,84900,88999,y
TGA6G7,01/01/21,01/01/18,f,1,f,5,89000,120899,7,89000,99999,y
TGA6G7,01/01/21,01/01/18,f,1,f,5,89000,120899,8,100000,100799,n
TGA6G7,01/01/21,01/01/18,f,1,f,5,89000,120899,9,100800,120899,y
TGA6G7,01/01/21,01/01/18,f,1,t,6,120900,174299,10,120900,132799,y
TGA6G7,01/01/21,01/01/18,f,1,t,6,120900,174299,11,132800,134399,n
TGA6G7,01/01/21,01/01/18,f,1,t,6,120900,174299,12,134400,138499,y
TGA6G7,01/01/21,01/01/18,f,1,t,6,120900,174299,13,138500,141299,n
TGA6G7,01/01/21,01/01/18,f,1,t,6,120900,174299,14,141300,174299,y
TGA6G7,01/01/21,01/01/18,f,1,a,7,174300,200499,15,174300,181699,y
TGA6G7,01/01/21,01/01/18,f,1,a,7,174300,200499,16,181700,185999,n
TGA6G7,01/01/21,01/01/18,f,1,a,7,174300,200499,17,186000,188399,y
TGA6G7,01/01/21,01/01/18,f,1,a,7,174300,200499,18,188400,190599,n
TGA6G7,01/01/21,01/01/18,f,1,a,7,174300,200499,19,190600,200499,y
TGA6G7,01/01/21,01/01/18,f,1,f,8,200500,234299,20,200500,222599,y
TGA6G7,01/01/21,01/01/18,f,1,f,8,200500,234299,21,222600,223599,n
TGA6G7,01/01/21,01/01/18,f,1,f,8,200500,234299,22,223600,234299,y
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,23,234300,245199,y
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,24,245200,248599,n
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,25,248600,252399,y
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,26,252400,258499,n
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,27,258500,262899,y
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,28,262900,267699,n
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,29,267700,276599,y
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,30,276600,279699,n
TGA6G7,01/01/21,01/01/18,f,1,t,9,234300,281799,31,279700,281799,y
TGA6G7,01/01/21,01/01/18,f,1,a,10,281800,285599,32,281800,285599,y
TGA6G7,01/01/21,01/01/18,f,1,f,11,285600,325199,33,285600,296399,y
TGA6G7,01/01/21,01/01/18,f,1,f,11,285600,325199,34,296400,297799,n
TGA6G7,01/01/21,01/01/18,f,1,f,11,285600,325199,35,297800,298699,y
TGA6G7,01/01/21,01/01/18,f,1,f,11,285600,325199,36,298700,300199,n
TGA6G7,01/01/21,01/01/18,f,1,f,11,285600,325199,37,300200,325199,y
TGA6G7,01/01/21,01/01/18,f,1,t,12,325200,373699,38,325200,335999,y
TGA6G7,01/01/21,01/01/18,f,1,t,12,325200,373699,39,336000,339699,n
TGA6G7,01/01/21,01/01/18,f,1,t,12,325200,373699,40,339700,358099,y
TGA6G7,01/01/21,01/01/18,f,1,t,12,325200,373699,41,358100,365899,n
TGA6G7,01/01/21,01/01/18,f,1,t,12,325200,373699,42,365900,373699,y
TGA6G7,01/01/21,01/01/18,f,1,a,13,373700,386899,43,373700,386899,y
TGA6G7,01/01/21,01/01/18,f,1,f,14,386900,419799,44,386900,412999,y
TGA6G7,01/01/21,01/01/18,f,1,f,14,386900,419799,45,413000,416199,n
TGA6G7,01/01/21,01/01/18,f,1,f,14,386900,419799,46,416200,417799,y
TGA6G7,01/01/21,01/01/18,f,1,f,14,386900,419799,47,417800,419799,n
TGA6G7,01/01/21,01/01/18,f,1,t,15,419800,467499,48,419800,435999,y
TGA6G7,01/01/21,01/01/18,f,1,t,15,419800,467499,49,436000,441299,n
TGA6G7,01/01/21,01/01/18,f,1,t,15,419800,467499,50,441300,467499,y
TGA6G7,01/01/21,01/01/18,f,1,a,16,467500,471299,51,467500,471299,y
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,52,471300,480699,y
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,53,480700,482499,n
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,54,482500,491499,y
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,55,491500,492699,n
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,56,492700,496899,y
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,57,496900,500499,n
TGA6G7,01/01/21,01/01/18,f,1,f,17,471300,502599,58,500500,502599,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,59,502600,509199,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,60,509200,512399,n
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,61,512400,517199,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,62,517200,518199,n
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,63,518200,518999,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,64,519000,521599,n
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,65,521600,522799,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,66,522800,524299,n
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,67,524300,529499,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,68,529500,530499,n
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,69,530500,541099,y
TGA6G7,01/01/21,01/01/18,f,1,t,18,502600,548178,70,541100,548178,n
