ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
TMT2Uc,01/01/21,01/01/18,f,1,a,1,0,5133,1,0,5133,y
TMT2Uc,01/01/21,01/01/18,f,1,f,2,5134,36447,2,5134,24649,y
TMT2Uc,01/01/21,01/01/18,f,1,f,2,5134,36447,3,24650,25431,n
TMT2Uc,01/01/21,01/01/18,f,1,f,2,5134,36447,4,25432,33523,y
TMT2Uc,01/01/21,01/01/18,f,1,f,2,5134,36447,5,33524,35733,n
TMT2Uc,01/01/21,01/01/18,f,1,f,2,5134,36447,6,35734,36447,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,7,36448,46987,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,8,46988,48279,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,9,48280,49775,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,10,49776,55623,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,11,55624,59261,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,12,59262,63647,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,13,63648,65041,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,14,65042,65993,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,15,65994,69665,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,16,69666,73167,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,17,73168,74187,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,18,74188,74663,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,19,74664,77179,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,20,77180,77927,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,21,77928,79831,y
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,22,79832,83401,n
TMT2Uc,01/01/21,01/01/18,f,1,t,3,36448,85203,23,83402,85203,y
TMT2Uc,01/01/21,01/01/18,f,1,a,4,85204,88807,24,85204,88807,y
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,25,88808,99619,y
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,26,99620,100741,n
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,27,100742,111213,y
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,28,111214,114239,n
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,29,114240,116075,y
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,30,116076,120291,n
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,31,120292,122059,e
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,32,122060,123215,y
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,33,123216,126241,n
TMT2Uc,01/01/21,01/01/18,f,1,f,5,88808,126479,34,126242,126479,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,35,126480,133279,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,36,133280,135659,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,37,135660,143615,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,38,143616,144431,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,39,144432,145383,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,40,145384,148885,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,41,148886,157147,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,42,157148,158643,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,43,158644,163029,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,44,163030,164287,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,45,164288,166701,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,46,166702,168979,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,47,168980,172617,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,48,172618,173841,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,49,173842,178057,y
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,50,178058,179723,n
TMT2Uc,01/01/21,01/01/18,f,1,t,6,126480,181151,51,179724,181151,y
TMT2Uc,01/01/21,01/01/18,f,1,a,7,181152,184551,52,181152,184551,y
TMT2Uc,01/01/21,01/01/18,f,1,f,8,184552,217225,53,184552,194241,y
TMT2Uc,01/01/21,01/01/18,f,1,f,8,184552,217225,54,194242,198355,n
TMT2Uc,01/01/21,01/01/18,f,1,f,8,184552,217225,55,198356,199035,y
TMT2Uc,01/01/21,01/01/18,f,1,f,8,184552,217225,56,199036,201721,n
TMT2Uc,01/01/21,01/01/18,f,1,f,8,184552,217225,57,201722,203319,y
