ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"UGRXDL","01/01/18","01/01/21","f","1",0,52142,53258,"off",0,5704,39432,"f",
,,,,,,,,1,58404,67890,"off",1,40362,86482,"t",
,,,,,,,,2,70742,76446,"off",2,91016,122690,"f",
,,,,,,,,3,78616,80786,"off",3,124372,171182,"t",
,,,,,,,,4,81778,84754,"off",4,187860,226354,"f",
,,,,,,,,5,85436,86482,"off",5,227726,274218,"t",
,,,,,,,,6,97898,99138,"off",6,278876,309008,"f",
,,,,,,,,7,103292,108314,"off",7,310744,342240,"t",
,,,,,,,,8,109554,115010,"off",8,350176,503130,"f",
,,,,,,,,9,118048,122690,"off",,,,,
,,,,,,,,10,129642,131750,"off",,,,,
,,,,,,,,11,133222,143158,"off",,,,,
,,,,,,,,12,147932,150350,"off",,,,,
,,,,,,,,13,154070,156550,"off",,,,,
,,,,,,,,14,157170,159650,"off",,,,,
,,,,,,,,15,159960,162750,"off",,,,,
,,,,,,,,16,163618,170004,"off",,,,,
,,,,,,,,17,249984,251348,"off",,,,,
,,,,,,,,18,263810,267406,"off",,,,,
,,,,,,,,19,297476,298716,"off",,,,,
,,,,,,,,20,299770,303180,"off",,,,,
,,,,,,,,21,307520,309008,"off",,,,,
,,,,,,,,22,317812,319920,"off",,,,,
,,,,,,,,23,321594,323578,"off",,,,,
,,,,,,,,24,326120,335296,"off",,,,,
,,,,,,,,25,339760,341744,"off",,,,,
,,,,,,,,26,352842,362638,"off",,,,,
,,,,,,,,27,462078,463946,"off",,,,,
,,,,,,,,28,466178,468658,"off",,,,,
,,,,,,,,29,470270,478950,"off",,,,,
,,,,,,,,30,479756,492032,"off",,,,,
,,,,,,,,31,496124,501890,"off",,,,,
