ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"V56UPN","01/01/18","01/01/21","f","B",0,48000,49170,"off",0,5214,51348,"f",
,,,,,,,,1,121110,122628,"off",1,55374,101376,"f",
,,,,,,,,2,224664,225390,"off",2,105270,151140,"f",
,,,,,,,,3,230274,231792,"off",3,154968,201102,"f",
,,,,,,,,4,246114,248962,"off",4,204864,250734,"f",
,,,,,,,,5,270600,274956,"off",5,254562,300828,"f",
,,,,,,,,6,284922,285978,"off",6,304722,350658,"f",
,,,,,,,,7,326238,327954,"off",7,354552,400346,"f",
,,,,,,,,8,333894,336930,"off",8,403392,420816,"t",
,,,,,,,,9,340824,342870,"off",9,421542,468732,"t",
,,,,,,,,10,375540,376596,"off",10,469986,515922,"t",
,,,,,,,,11,397188,399630,"off",11,517176,565686,"t",
,,,,,,,,12,416592,420816,"off",,,,,
,,,,,,,,13,452958,453948,"off",,,,,
,,,,,,,,14,504174,506088,"off",,,,,
,,,,,,,,15,512226,513414,"off",,,,,
,,,,,,,,16,546678,548856,"off",,,,,
