ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"W6NCHB","01/01/18","01/01/21","f","1",0,39236,40038,"off",0,5712,40038,"f",
,,,,,,,,1,52088,54706,"off",1,41038,87346,"t",
,,,,,,,,2,57528,67694,"off",2,91120,122760,"f",
,,,,,,,,3,69768,70822,"off",3,124474,171258,"t",
,,,,,,,,4,76908,87346,"off",4,184076,223380,"f",
,,,,,,,,5,110602,117912,"off",5,224230,271150,"t",
,,,,,,,,6,135320,137054,"off",6,275060,306034,"f",
,,,,,,,,7,143786,146030,"off",7,306816,353566,"t",
,,,,,,,,8,152762,154836,"off",,,,,
,,,,,,,,9,155244,160752,"off",,,,,
,,,,,,,,10,162894,166498,"off",,,,,
,,,,,,,,11,197302,199172,"off",,,,,
,,,,,,,,12,208386,210222,"off",,,,,
,,,,,,,,13,218314,221102,"off",,,,,
,,,,,,,,14,234294,236810,"off",,,,,
,,,,,,,,15,241604,255374,"off",,,,,
,,,,,,,,16,258978,263500,"off",,,,,
,,,,,,,,17,283288,284648,"off",,,,,
,,,,,,,,18,286110,287164,"off",,,,,
,,,,,,,,19,295460,297942,"off",,,,,
,,,,,,,,20,302192,306034,"off",,,,,
,,,,,,,,21,315962,318750,"off",,,,,
,,,,,,,,22,325210,339422,"off",,,,,
,,,,,,,,23,348024,349758,"off",,,,,
