ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
W7ZXCP,01/01/21,01/01/18,f,1,a,1,1055,6731,1,1055,6731,y
W7ZXCP,01/01/21,01/01/18,f,1,f,2,6732,38081,2,6732,32141,y
W7ZXCP,01/01/21,01/01/18,f,1,f,2,6732,38081,3,32142,33659,n
W7ZXCP,01/01/21,01/01/18,f,1,f,2,6732,38081,4,33660,38081,y
W7ZXCP,01/01/21,01/01/18,f,1,t,3,38082,85502,5,38082,85502,y
W7ZXCP,01/01/21,01/01/18,f,1,a,4,85503,90386,6,85503,90386,y
W7ZXCP,01/01/21,01/01/18,f,1,f,5,90387,128897,7,90387,128897,y
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,8,128898,136586,y
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,9,136587,137708,n
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,10,137709,147278,y
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,11,147279,149951,n
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,12,149952,169322,y
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,13,169323,170510,n
W7ZXCP,01/01/21,01/01/18,f,1,t,6,128898,180542,14,170511,180542,y
W7ZXCP,01/01/21,01/01/18,f,1,a,7,180543,185327,15,180543,185327,y
W7ZXCP,01/01/21,01/01/18,f,1,f,8,185328,217304,16,185328,209054,y
W7ZXCP,01/01/21,01/01/18,f,1,f,8,185328,217304,17,209055,215687,n
W7ZXCP,01/01/21,01/01/18,f,1,f,8,185328,217304,18,215688,217304,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,19,217305,221264,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,20,221265,223112,n
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,21,223113,226181,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,22,226182,230273,n
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,23,230274,231725,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,24,231726,232616,n
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,25,232617,243440,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,26,243441,254561,n
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,27,254562,260468,y
W7ZXCP,01/01/21,01/01/18,f,1,t,9,217305,264461,28,260469,264461,n
W7ZXCP,01/01/21,01/01/18,f,1,a,10,264462,269015,29,264462,269015,y
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,30,269016,281753,y
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,31,281754,286802,n
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,32,286803,292212,y
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,33,292213,296801,n
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,34,296802,300266,y
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,35,300267,301454,n
W7ZXCP,01/01/21,01/01/18,f,1,f,11,269016,303236,36,301455,303236,y
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,37,303237,307460,y
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,38,307461,315182,n
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,39,315183,319736,y
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,40,319737,327458,n
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,41,327459,340460,y
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,42,340461,343199,n
W7ZXCP,01/01/21,01/01/18,f,1,t,12,303237,350558,43,343200,350558,y
