ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"Y34LC23","01/01/18","01/01/21","f","1",0,21148,23494,"off",0,7004,53210,"f",
,,,,,,,,1,32266,34918,"off",1,57120,102748,"f",
,,,,,,,,2,68020,70000,"e",2,107066,152796,"f",
,,,,,,,,3,143242,145452,"off",3,156672,171122,"f",
,,,,,,,,4,168028,171122,"off",4,174726,189550,"f",
,,,,,,,,5,185334,189550,"off",5,192712,238714,"f",
,,,,,,,,6,204408,207332,"off",6,242556,288830,"f",
,,,,,,,,7,228718,231302,"off",7,293046,331602,"f",
,,,,,,,,8,254218,255612,"off",8,333166,355878,"t",
,,,,,,,,9,265560,267000,"off",9,357238,364446,"t",
,,,,,,,,10,279208,281010,"off",10,366180,377332,"t",
,,,,,,,,11,303484,305320,"off",11,379270,388960,"t",
,,,,,,,,12,328508,331602,"off",12,404804,418000,"t",
,,,,,,,,13,343386,345678,"off",13,419594,441321,"t",
,,,,,,,,14,351025,355844,"off",,,,,
,,,,,,,,15,357238,364446,"e",,,,,
,,,,,,,,16,366180,371688,"e",,,,,
,,,,,,,,17,375734,377332,"off",,,,,
,,,,,,,,18,384880,388824,"off",,,,,
,,,,,,,,19,408612,410176,"off",,,,,
,,,,,,,,20,414018,418000,"off",,,,,
,,,,,,,,21,424864,426700,"off",,,,,
,,,,,,,,22,428808,431256,"off",,,,,
,,,,,,,,23,435982,441321,"off",,,,,
