ID_sub,ID_dot,ID_dob,ID_sex,ID_session,Trials_x,Trials_ordinal,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction
YPA6WA,01/01/21,01/01/18,f,1,a,1,0,6297,1,0,6297,y
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,2,6298,7473,n
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,3,7474,19598,y
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,4,19599,27353,n
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,5,27354,29421,y
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,6,29422,33745,n
YPA6WA,01/01/21,01/01/18,f,1,f,2,6298,38445,7,33746,38445,y
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,8,38446,48503,y
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,9,48504,50994,n
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,10,50995,59031,y
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,11,59032,61898,n
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,12,61899,68619,y
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,13,68620,71157,n
YPA6WA,01/01/21,01/01/18,f,1,t,3,38446,86432,14,71158,86432,y
YPA6WA,01/01/21,01/01/18,f,1,a,4,86433,91179,15,86433,91179,y
YPA6WA,01/01/21,01/01/18,f,1,f,5,91180,122199,16,91180,98558,y
YPA6WA,01/01/21,01/01/18,f,1,f,5,91180,122199,17,98559,109697,n
YPA6WA,01/01/21,01/01/18,f,1,f,5,91180,122199,18,109698,122199,y
YPA6WA,01/01/21,01/01/18,f,1,t,6,122200,172348,19,122200,139354,y
YPA6WA,01/01/21,01/01/18,f,1,t,6,122200,172348,20,139355,144900,n
YPA6WA,01/01/21,01/01/18,f,1,t,6,122200,172348,21,144901,151198,y
YPA6WA,01/01/21,01/01/18,f,1,t,6,122200,172348,22,151199,153219,n
YPA6WA,01/01/21,01/01/18,f,1,t,6,122200,172348,23,153220,172348,y
YPA6WA,01/01/21,01/01/18,f,1,a,7,172349,182359,24,172349,182359,y
YPA6WA,01/01/21,01/01/18,f,1,f,8,182360,216434,25,182360,216434,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,26,216435,225928,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,27,225929,239300,n
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,28,239301,243835,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,29,243836,244963,n
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,30,244964,246232,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,31,246233,249428,n
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,32,249429,250462,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,33,250463,252624,n
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,34,252625,254504,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,35,254505,256055,n
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,36,256056,262917,y
YPA6WA,01/01/21,01/01/18,f,1,t,9,216435,264092,37,262918,264092,n
YPA6WA,01/01/21,01/01/18,f,1,a,10,264093,268745,38,264093,268745,y
YPA6WA,01/01/21,01/01/18,f,1,f,11,268746,308366,39,268746,277722,y
YPA6WA,01/01/21,01/01/18,f,1,f,11,268746,308366,40,277723,293843,n
YPA6WA,01/01/21,01/01/18,f,1,f,11,268746,308366,41,293844,301410,y
YPA6WA,01/01/21,01/01/18,f,1,f,11,268746,308366,42,301411,308366,n
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,43,308367,312972,y
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,44,312973,317484,n
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,45,317485,318706,y
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,46,318707,320633,n
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,47,320634,331631,n
YPA6WA,01/01/21,01/01/18,f,1,t,12,308367,357528,48,331632,357528,y
