ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"cPWHF4","01/01/18","01/01/21","f","1",0,43000,45675,"e",0,5580,51705,"f",
,,,,,,,,1,64485,66510,"off",1,55305,89055,"f",
,,,,,,,,2,84690,89055,"off",2,92745,138510,"f",
,,,,,,,,3,105065,107910,"off",3,142785,188820,"f",
,,,,,,,,4,130185,132255,"off",4,192735,238545,"f",
,,,,,,,,5,186660,188000,"off",5,243090,288540,"f",
,,,,,,,,6,196200,198990,"off",6,292725,327580,"f",
,,,,,,,,7,203805,206055,"e",7,330975,354735,"f",
,,,,,,,,8,208025,210240,"off",8,356040,367000,"t",
,,,,,,,,9,249000,250965,"off",9,368010,414002,"t",
,,,,,,,,10,255320,260235,"off",10,416700,423935,"t",
,,,,,,,,11,285750,288540,"off",11,426140,434925,"t",
,,,,,,,,12,319000,320535,"off",,,,,
,,,,,,,,13,322245,327580,"off",,,,,
,,,,,,,,14,350730,354735,"off",,,,,
,,,,,,,,15,364050,367000,"off",,,,,
,,,,,,,,16,393000,395460,"off",,,,,
,,,,,,,,17,397025,399420,"off",,,,,
,,,,,,,,18,403730,405450,"off",,,,,
,,,,,,,,19,406755,408780,"off",,,,,
,,,,,,,,20,410220,414002,"off",,,,,
,,,,,,,,21,420795,423935,"off",,,,,
,,,,,,,,22,431280,434925,"off",,,,,
