ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"cZM66C","01/01/18","01/01/21","f","1",0,19000,20750,"off",0,6625,52750,"f",
,,,,,,,,1,27625,29375,"off",1,58000,103875,"f",
,,,,,,,,2,32125,34500,"off",2,108375,146375,"f",
,,,,,,,,3,45000,47750,"off",3,151250,189250,"f",
,,,,,,,,4,82000,84250,"off",4,194250,231375,"f",
,,,,,,,,5,144000,146375,"off",5,236375,248625,"f",
,,,,,,,,6,186125,188500,"off",6,253000,268000,"f",
,,,,,,,,7,217166,222125,"off",7,269750,284375,"t",
,,,,,,,,8,230000,231375,"off",8,285500,315500,"t",
,,,,,,,,9,246250,248625,"off",9,335000,347000,"t",
,,,,,,,,10,265875,268000,"off",10,349125,358817,"t",
,,,,,,,,11,281500,284375,"off",,,,,
,,,,,,,,12,307750,315500,"off",,,,,
,,,,,,,,13,345375,347000,"off",,,,,
,,,,,,,,14,357625,358817,"off",,,,,
