ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"D5C2YU","01/01/18","01/01/21","f","1",0,26905,30251,"off",0,5890,51855,"f",
,,,,,,,,1,32392,35801,"e",1,58331,104756,"f",
,,,,,,,,2,38127,39859,"off",2,109094,141077,"f",
,,,,,,,,3,50149,51855,"off",3,144732,165561,"f",
,,,,,,,,4,63475,65456,"e",4,169267,186916,"f",
,,,,,,,,5,67909,70019,"off",5,191193,229540,"f",
,,,,,,,,6,85548,91405,"off",6,233351,244043,"f",
,,,,,,,,7,95403,98721,"off",7,248752,256872,"f",
,,,,,,,,8,114020,115539,"off",8,257551,272400,"t",
,,,,,,,,9,123350,124715,"off",9,273048,309224,"t",
,,,,,,,,10,127876,131128,"off",,,,,
,,,,,,,,11,137792,141077,"off",,,,,
,,,,,,,,12,146160,154746,"e",,,,,
,,,,,,,,13,160944,165561,"e",,,,,
,,,,,,,,14,174753,178749,"off",,,,,
,,,,,,,,15,180886,186916,"off",,,,,
,,,,,,,,16,194913,198010,"off",,,,,
,,,,,,,,17,199964,201725,"off",,,,,
,,,,,,,,18,204487,207774,"off",,,,,
,,,,,,,,19,209605,212267,"off",,,,,
,,,,,,,,20,221565,223267,"off",,,,,
,,,,,,,,21,225841,228286,"off",,,,,
,,,,,,,,22,237904,240258,"off",,,,,
,,,,,,,,23,253305,256872,"off",,,,,
,,,,,,,,24,262879,265324,"off",,,,,
,,,,,,,,25,269510,272400,"off",,,,,
,,,,,,,,26,300349,305832,"off",,,,,
,,,,,,,,27,307318,309224,"off",,,,,
