ID.ordinal,ID.onset,ID.offset,ID.sub,ID.dob,ID.dot,ID.sex,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,
0,0,0,"dKQE5W","01/01/18","01/01/21","f","1",0,22990,26437,"off",0,5548,47262,"f",
,,,,,,,,1,40945,47262,"off",1,51735,91206,"f",
,,,,,,,,2,58700,70170,"off",2,95546,107646,"f",
,,,,,,,,3,72270,73881,"off",3,112712,132594,"f",
,,,,,,,,4,76886,79086,"off",4,136810,163767,"f",
,,,,,,,,5,83610,86585,"off",5,168455,178121,"f",
,,,,,,,,6,88252,91206,"off",6,182521,193963,"f",
,,,,,,,,7,103110,107646,"off",7,198650,236567,"f",
,,,,,,,,8,128085,132594,"off",8,238116,272775,"t",
,,,,,,,,9,139095,146880,"off",9,274324,294657,"t",
,,,,,,,,10,153882,158468,"off",10,296268,309317,"t",
,,,,,,,,11,160886,163767,"off",11,310866,320196,"t",
,,,,,,,,12,171582,178121,"off",12,332965,367686,"t",
,,,,,,,,13,189449,193963,"off",13,369017,402561,"t",
,,,,,,,,14,203763,207823,"off",,,,,
,,,,,,,,15,218175,221925,"off",,,,,
,,,,,,,,16,223971,225676,"off",,,,,
,,,,,,,,17,232217,236567,"off",,,,,
,,,,,,,,18,250758,253089,"off",,,,,
,,,,,,,,19,257789,260120,"off",,,,,
,,,,,,,,20,263801,266412,"off",,,,,
,,,,,,,,21,267898,272775,"off",,,,,
,,,,,,,,22,283623,289447,"off",,,,,
,,,,,,,,23,290718,294657,"off",,,,,
,,,,,,,,24,304204,309317,"off",,,,,
,,,,,,,,25,315856,320196,"off",,,,,
,,,,,,,,26,346016,353175,"off",,,,,
,,,,,,,,27,364735,367686,"off",,,,,
,,,,,,,,28,392850,396415,"off",,,,,
,,,,,,,,29,398088,402561,"off",,,,,
