"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",44.874,2.807,0,44.874,2.807,0,44.874,2.807,0,44.874,2.807,0,44.874,2.807,0
"2",1,2,"f",47.78,0,0,47.78,0,0,47.78,0,0,47.78,0,0,47.78,0,0
"3",1,3,"f",35.423,4.669,0,35.423,4.669,0,35.423,4.669,0,35.423,4.669,0,35.423,4.669,0
"4",1,4,"f",38.047,7.677,0,41.81,3.914,0,41.81,3.914,0,38.047,7.677,0,38.047,7.677,0
"5",1,5,"f",33.33,6.856,0,36.525,3.661,0,33.33,6.856,0,33.33,6.856,0,33.33,6.856,0
"6",1,6,"f",17.608,6.756,0,20.459,3.905,0,20.459,3.905,0,20.459,3.905,0,20.459,3.905,0
"7",1,7,"f",27.536,13.283,0,37.34,3.479,0,34.287,6.532,0,34.287,6.532,0,34.287,6.532,0
"8",1,8,"f",11.928,7.016,0,16.033,2.911,0,11.928,7.016,0,11.928,7.016,0,11.928,7.016,0
"9",1,9,"t",9.437,4.757,0,9.437,4.757,0,9.437,4.757,0,9.437,4.757,0,9.437,4.757,0
"10",1,10,"t",22.862,6.375,0,23.912,5.325,0,23.912,5.325,0,23.912,5.325,0,23.912,5.325,0
"11",1,11,"t",6.745,3.333,0,6.745,3.333,0,6.745,3.333,0,6.745,3.333,0,6.745,3.333,0
"12",1,12,"t",22.501,9.662,0,27.619,4.544,0,27.619,4.544,0,24.424,7.739,0,24.424,7.739,0
