"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.788,0,0,3.788,0,0,3.788,0,0,3.788,0,0,3.788,0,0
"2",1,2,"f",32.967,0,0,32.967,0,0,32.967,0,0,32.967,0,0,32.967,0,0
"3",1,3,"t",40.35,8.943,0,22.203,8.943,0,22.203,8.943,0,22.203,8.943,0,22.203,8.943,0
"4",1,4,"a",4.263,0,0,4.263,0,0,4.263,0,0,4.263,0,0,4.263,0,0
"5",1,5,"f",39.155,0,0,39.155,0,0,39.155,0,0,39.155,0,0,39.155,0,0
"6",1,6,"t",48.462,4.782,0,41.131,2.183,0,41.131,2.183,0,48.462,4.782,0,48.462,4.782,0
"7",1,7,"a",9.879,0,0,9.879,0,0,9.879,0,0,9.879,0,0,9.879,0,0
"8",1,8,"f",32.967,0,0,32.967,0,0,32.967,0,0,32.967,0,0,32.967,0,0
"9",1,9,"t",40.712,7.433,0,16.847,4.679,0,16.847,4.679,0,16.847,4.679,0,16.847,4.679,0
"10",1,10,"a",4.315,0,0,4.315,0,0,4.315,0,0,4.315,0,0,4.315,0,0
"11",1,11,"f",23.502,10.711,0,4.003,10.711,0,4.003,10.711,0,4.003,10.711,0,4.003,10.711,0
"12",1,12,"t",49.711,0,0,49.711,0,0,49.711,0,0,49.711,0,0,49.711,0,0
