"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",43.996,2.652,0,43.996,2.652,0,43.996,2.652,0,43.996,2.652,0,43.996,2.652,0
"2",1,2,"f",37.094,7.112,0,37.094,7.112,0,37.094,7.112,0,37.094,7.112,0,37.094,7.112,0
"3",1,3,"f",18.074,7.188,0,18.074,7.188,0,18.074,7.188,0,18.074,7.188,0,18.074,7.188,0
"4",1,4,"f",17.272,4.794,0,17.272,4.794,0,17.272,4.794,0,17.272,4.794,0,17.272,4.794,0
"5",1,5,"f",35.122,2.89,0,35.122,2.89,0,35.122,2.89,0,35.122,2.89,0,35.122,2.89,0
"6",1,6,"f",13.456,7.76,0,13.456,7.76,0,13.456,7.76,0,13.456,7.76,0,13.456,7.76,0
"7",1,7,"t",9.146,6.766,0,9.146,6.766,0,9.146,6.766,0,9.146,6.766,0,9.146,6.766,0
"8",1,8,"t",5.202,8.602,0,8.704,5.1,0,8.704,5.1,0,8.704,5.1,0,8.704,5.1,0
"9",1,9,"t",7.337,4.155,0,7.337,4.155,0,7.337,4.155,0,7.337,4.155,0,7.337,4.155,0
"10",1,10,"t",5.678,3.622,0,5.678,3.622,0,5.678,3.622,0,5.678,3.622,0,5.678,3.622,0
