"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.567,0,0,3.567,0,0,3.567,0,0,3.567,0,0,3.567,0,0
"2",1,2,"f",31.619,0,0,31.619,0,0,31.619,0,0,31.619,0,0,31.619,0,0
"3",1,3,"t",45.898,1.461,0,45.898,1.461,0,45.898,1.461,0,45.898,1.461,0,45.898,1.461,0
"4",1,4,"a",3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0
"5",1,5,"f",37.33,1.664,0,21.759,1.529,0,21.759,1.529,0,21.759,1.529,0,21.759,1.529,0
"6",1,6,"t",43.355,7.544,0,5.133,2.888,0,23.865,7.544,0,23.865,7.544,0,23.865,7.544,0
"7",1,7,"a",4.648,0,0,4.648,0,0,4.648,0,0,4.648,0,0,4.648,0,0
"8",1,8,"f",20.023,9.281,2.787,17.814,9.281,2.787,17.814,9.281,2.787,17.814,9.281,2.787,17.814,9.281,2.787
"9",1,9,"t",43.04,5.607,0,9.451,1.563,0,15.978,3.84,0,15.978,3.84,0,15.978,3.84,0
"10",1,10,"a",3.365,0,0,3.365,0,0,3.365,0,0,3.365,0,0,3.365,0,0
"11",1,11,"f",27.845,6.187,0,27.845,6.187,0,27.845,6.187,0,27.845,6.187,0,27.845,6.187,0
"12",1,12,"t",45.049,4.555,0,45.049,4.555,0,45.049,4.555,0,45.049,4.555,0,45.049,4.555,0
