"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.576,0,0,5.576,0,0,5.576,0,0,5.576,0,0,5.576,0,0
"2",1,2,"f",33.659,0,0,33.659,0,0,33.659,0,0,33.659,0,0,33.659,0,0
"3",1,3,"t",35.142,12.339,0,27.653,7.72,0,27.653,7.72,0,27.653,7.72,0,27.653,7.72,0
"4",1,4,"a",4.322,0,0,4.322,0,0,4.322,0,0,4.322,0,0,4.322,0,0
"5",1,5,"f",21.907,10.39,0,4.685,3.794,0,4.685,3.794,0,4.685,3.794,0,4.685,3.794,0
"6",1,6,"t",34.448,15.407,0,11.252,2.078,0,11.252,2.078,0,23.262,7.488,0,23.262,7.488,0
"7",1,7,"a",9.203,13.099,0,1.351,9.569,0,1.351,9.569,0,1.351,9.569,0,1.351,9.569,0
"8",1,8,"f",23.821,14.911,0,7.688,4.982,0,7.688,4.982,0,7.688,4.982,0,7.688,4.982,0
"9",1,9,"t",31.375,16.427,0,7.127,2.012,0,7.127,2.012,0,15.276,7.488,0,15.276,7.488,0
"10",1,10,"a",4.091,0,0,4.091,0,0,4.091,0,0,4.091,0,0,4.091,0,0
"11",1,11,"f",24.581,7.323,0,4.421,1.88,0,9.369,7.323,0,9.369,7.323,0,9.369,7.323,0
"12",1,12,"t",21.838,25.139,0,5.213,1.847,0,7.588,4.057,0,9.666,8.544,0,9.666,8.544,0
"13",1,13,"a",9.303,14.254,0,5.411,1.88,0,6.598,14.254,0,6.598,14.254,0,6.598,14.254,0
"14",1,14,"f",18.542,17.948,0,6.896,2.441,0,6.896,2.441,0,11.415,16.629,0,11.415,16.629,0
"15",1,15,"t",18.407,29.199,0,4.355,2.573,0,4.355,2.573,0,4.355,2.573,0,5.542,6.136,0
"16",1,16,"a",4.652,0,0,4.652,0,0,4.652,0,0,4.652,0,0,4.652,0,0
"17",1,17,"f",17.022,15.339,0,11.415,6.234,0,11.415,6.234,0,11.415,6.234,0,11.415,6.234,0
"18",1,18,"t",22.395,23.687,0,5.246,5.84,0,5.246,5.84,0,5.246,5.84,0,5.246,5.84,0
