"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.608,0,0,5.608,0,0,5.608,0,0,5.608,0,0,5.608,0,0
"2",1,2,"f",28.752,4.542,0,9.939,2.2,0,9.939,2.2,0,9.939,2.2,0,9.939,2.2,0
"3",1,3,"t",32.227,15.827,0,8.803,4.685,0,8.803,4.685,0,8.803,4.685,0,8.803,4.685,0
"4",1,4,"a",3.62,0,0,3.62,0,0,3.62,0,0,3.62,0,0,3.62,0,0
"5",1,5,"f",26.691,8.374,0,8.59,2.058,0,8.59,2.058,0,24.562,8.374,0,24.562,8.374,0
"6",1,6,"t",37.412,12.634,0,5.253,1.561,0,16.753,6.387,0,16.753,6.387,0,16.753,6.387,0
"7",1,7,"a",7.312,0,0,7.312,0,0,7.312,0,0,7.312,0,0,7.312,0,0
"8",1,8,"f",32.729,1.632,0,20.802,1.632,0,20.802,1.632,0,20.802,1.632,0,20.802,1.632,0
"9",1,9,"t",41.885,6.173,0,25.416,2.909,0,33.224,6.173,0,33.224,6.173,0,33.224,6.173,0
"10",1,10,"a",4.22,0,0,4.22,0,0,4.22,0,0,4.22,0,0,4.22,0,0
"11",1,11,"f",39.975,0,0,39.975,0,0,39.975,0,0,39.975,0,0,39.975,0,0
"12",1,12,"t",43.27,10.574,0,15.3,2.768,0,15.3,2.768,0,15.3,2.768,0,43.27,10.574,0
"13",1,13,"a",8.447,5.749,0,3.904,5.749,0,3.904,5.749,0,3.904,5.749,0,3.904,5.749,0
"14",1,14,"f",29.675,2.696,0,20.305,1.703,0,20.305,1.703,0,20.305,1.703,0,20.305,1.703,0
"15",1,15,"t",42.241,5.89,0,28.042,5.89,0,28.042,5.89,0,28.042,5.89,0,28.042,5.89,0
"16",1,16,"a",4.005,0,0,4.005,0,0,4.005,0,0,4.005,0,0,4.005,0,0
"17",1,17,"f",22.9,8.163,0,9.483,5.75,0,9.483,5.75,0,9.483,5.75,0,9.483,5.75,0
"18",1,18,"t",42.326,3.903,0,23.571,2.342,0,23.571,2.342,0,23.571,2.342,0,23.571,2.342,0
