"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.979,0,0,3.979,0,0,3.979,0,0,3.979,0,0,3.979,0,0
"2",1,2,"f",30.871,0,0,30.871,0,0,30.871,0,0,30.871,0,0,30.871,0,0
"3",1,3,"t",45.354,4.894,0,45.354,4.894,0,45.354,4.894,0,45.354,4.894,0,45.354,4.894,0
"4",1,4,"a",7.785,0,0,7.785,0,0,7.785,0,0,7.785,0,0,7.785,0,0
"5",1,5,"f",33.012,0.951,0,33.012,0.951,0,33.012,0.951,0,33.012,0.951,0,33.012,0.951,0
"6",1,6,"t",42.123,5.777,0,7.785,1.767,0,36.65,4.554,0,36.65,4.554,0,36.65,4.554,0
"7",1,7,"a",10.641,7.547,0,4.216,7.547,0,4.216,7.547,0,4.216,7.547,0,4.216,7.547,0
"8",1,8,"f",29.713,4.52,0,23.492,4.52,0,23.492,4.52,0,23.492,4.52,0,23.492,4.52,0
"9",1,9,"t",40.525,4.86,0,15.095,1.563,0,19.038,4.86,0,19.038,4.86,0,19.038,4.86,0
"10",1,10,"a",4.793,0,0,4.793,0,0,4.793,0,0,4.793,0,0,4.793,0,0
"11",1,11,"f",21.485,8.872,0,10.335,1.631,0,12.646,8.872,0,12.646,8.872,0,12.646,8.872,0
"12",1,12,"t",21.142,25.048,0,10.743,1.563,0,13.054,7.546,0,13.054,7.546,0,13.054,7.546,0
