"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",45.798,0,0,45.798,0,0,45.798,0,0,45.798,0,0,45.798,0,0
"2",1,2,"f",46.036,0,0,46.036,0,0,46.036,0,0,46.036,0,0,46.036,0,0
"3",1,3,"f",45.968,0,0,45.968,0,0,45.968,0,0,45.968,0,0,45.968,0,0
"4",1,4,"f",42.534,3.468,0,42.534,3.468,0,42.534,3.468,0,42.534,3.468,0,42.534,3.468,0
"5",1,5,"f",38.882,6.984,0,42.704,3.162,0,38.882,6.984,0,38.882,6.984,0,38.882,6.984,0
"6",1,6,"f",39.406,6.664,0,42.33,3.74,0,42.33,3.74,0,42.33,3.74,0,42.33,3.74,0
"7",1,7,"f",33.116,12.682,0,38.76,7.038,0,38.76,7.038,0,38.76,7.038,0,38.76,7.038,0
"8",1,8,"f",11.356,11.866,0,11.356,11.866,0,11.356,11.866,0,11.356,11.866,0,11.356,11.866,0
"9",1,9,"t",33.694,7.242,0,33.694,7.242,0,33.694,7.242,0,33.694,7.242,0,33.694,7.242,0
"10",1,10,"t",11.834,8.926,0,11.834,8.926,0,11.834,8.926,0,11.834,8.926,0,11.834,8.926,0
"11",1,11,"t",14.178,14.212,0,19.38,9.01,0,19.38,9.01,0,19.38,9.01,0,19.38,9.01,0
