"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",44.798,0,0,44.798,0,0,44.798,0,0,44.798,0,0,44.798,0,0
"2",1,2,"f",44.866,0,0,44.866,0,0,44.866,0,0,44.866,0,0,44.866,0,0
"3",1,3,"f",44.574,0.734,0,44.574,0.734,0,44.574,0.734,0,44.574,0.734,0,44.574,0.734,0
"4",1,4,"f",46.509,5.95,0,48.515,3.944,0,48.515,3.944,0,48.515,3.944,0,48.515,3.944,0
"5",1,5,"f",12.362,4.284,0,12.362,4.284,0,12.362,4.284,0,12.362,4.284,0,12.362,4.284,0
"6",1,6,"f",39.78,5.95,0,42.126,3.604,0,39.78,5.95,0,39.78,5.95,0,39.78,5.95,0
"7",1,7,"f",20.672,3.4,0,20.672,3.4,0,20.672,3.4,0,20.672,3.4,0,20.672,3.4,0
"8",1,8,"f",4.25,1.802,0,4.25,1.802,0,4.25,1.802,0,4.25,1.802,0,4.25,1.802,0
"9",1,9,"t",22.066,7.038,0,23.97,5.134,0,23.97,5.134,0,23.97,5.134,0,23.97,5.134,0
"10",1,10,"t",6.61,3.012,0,6.61,3.012,0,6.61,3.012,0,6.61,3.012,0,6.61,3.012,0
"11",1,11,"t",12.818,3.298,0,12.818,3.298,0,12.818,3.298,0,12.818,3.298,0,12.818,3.298,0
"12",1,12,"t",5.882,1.87,0,5.882,1.87,0,5.882,1.87,0,5.882,1.87,0,5.882,1.87,0
"13",1,13,"t",12.546,3.536,0,12.546,3.536,0,12.546,3.536,0,12.546,3.536,0,12.546,3.536,0
"14",1,14,"t",7.854,1.731,0,7.854,1.731,0,7.854,1.731,0,7.854,1.731,0,7.854,1.731,0
