"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",19.272,11.022,0,19.272,11.022,NA,19.272,11.022,NA,19.272,11.022,NA,19.272,11.022,NA
"2",1,2,"f",14.916,15.048,0,21.516,8.448,NA,21.516,8.448,NA,21.516,8.448,NA,21.516,8.448,NA
"3",1,3,"f",5.576,18.382,0,5.576,18.382,NA,5.576,18.382,NA,5.576,18.382,NA,5.576,18.382,NA
"4",1,4,"f",21.11,6.214,0,21.11,6.214,NA,21.11,6.214,NA,21.11,6.214,NA,21.11,6.214,NA
"5",1,5,"f",27.786,13.728,2.772,31.878,9.636,NA,31.878,9.636,NA,31.878,9.636,NA,31.878,9.636,NA
"6",1,6,"f",25.014,14.124,0,28.248,10.89,NA,28.248,10.89,NA,28.248,10.89,NA,28.248,10.89,NA
"7",1,7,"f",21.995,2.171,0,21.995,2.171,NA,21.995,2.171,NA,21.995,2.171,NA,21.995,2.171,NA
"8",1,8,"f",4.884,26.862,0,7.854,23.892,NA,7.854,23.892,NA,7.854,23.892,NA,7.854,23.892,NA
"9",1,9,"f",6.138,7.26,0,6.138,7.26,NA,6.138,7.26,NA,6.138,7.26,NA,6.138,7.26,NA
"10",1,10,"f",2.867,12.181,0,2.867,12.181,NA,2.867,12.181,NA,2.867,12.181,NA,2.867,12.181,NA
"11",1,11,"t",15.51,1.122,0,15.51,1.122,NA,15.51,1.122,NA,15.51,1.122,NA,15.51,1.122,NA
"12",1,12,"t",14.896,10.778,0,19.262,6.412,NA,19.262,6.412,NA,19.262,6.412,NA,19.262,6.412,NA
"13",1,13,"t",4.422,5.61,0,4.422,5.61,NA,4.422,5.61,NA,4.422,5.61,NA,4.422,5.61,NA
"14",1,14,"t",16.764,6.138,7.986,16.764,6.138,NA,16.764,6.138,NA,16.764,6.138,NA,16.764,6.138,NA
"15",1,15,"t",10.032,3.96,6.6,10.032,3.96,NA,10.032,3.96,NA,10.032,3.96,NA,10.032,3.96,NA
"16",1,16,"t",3.84,13.122,0,3.84,13.122,NA,3.84,13.122,NA,3.84,13.122,NA,3.84,13.122,NA
"17",1,17,"t",11.418,15.642,0,16.038,11.022,NA,16.038,11.022,NA,16.038,11.022,NA,16.038,11.022,NA
"18",1,18,"t",3.762,2.367,0,3.762,2.367,NA,3.762,2.367,NA,3.762,2.367,NA,3.762,2.367,NA
