"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",41.242,5.474,0,42.976,3.74,NA,42.976,3.74,NA,42.976,3.74,NA,42.976,3.74,NA
"2",1,2,"f",36.4,9.568,0,41.704,4.264,NA,41.704,4.264,NA,41.704,4.264,NA,41.704,4.264,NA
"3",1,3,"f",7.99,3.794,0,7.99,3.794,NA,7.99,3.794,NA,7.99,3.794,NA,7.99,3.794,NA
"4",1,4,"f",30.158,15.742,0,39.78,6.12,NA,39.78,6.12,NA,39.78,6.12,NA,39.78,6.12,NA
"5",1,5,"f",29.036,11.886,0,34.36,6.562,NA,34.36,6.562,NA,34.36,6.562,NA,34.36,6.562,NA
"6",1,6,"f",35.006,5.44,11.764,35.006,5.44,NA,35.006,5.44,NA,35.006,5.44,NA,35.006,5.44,NA
"7",1,7,"f",30.906,12.988,0,36.754,7.14,NA,36.754,7.14,NA,36.754,7.14,NA,36.754,7.14,NA
"8",1,8,"f",28.866,11.764,0,34.986,5.644,NA,34.986,5.644,NA,34.986,5.644,NA,34.986,5.644,NA
"9",1,9,"t",10.744,4.658,5.134,10.744,4.658,NA,10.744,4.658,NA,10.744,4.658,NA,10.744,4.658,NA
"10",1,10,"t",10.812,8.466,0,10.812,8.466,NA,10.812,8.466,NA,10.812,8.466,NA,10.812,8.466,NA
"11",1,11,"t",13.008,0,7.296,13.008,0,NA,13.008,0,NA,13.008,0,NA,13.008,0,NA
"12",1,12,"t",10.472,0,5.61,10.472,0,NA,10.472,0,NA,10.472,0,NA,10.472,0,NA
