"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",46.644,0.884,0,46.644,0.884,NA,46.644,0.884,NA,46.644,0.884,NA,46.644,0.884,NA
"2",1,2,"f",39.104,7.332,0,41.392,5.044,NA,41.392,5.044,NA,41.392,5.044,NA,41.392,5.044,NA
"3",1,3,"f",39.144,7.708,0,43.368,3.484,NA,39.144,7.708,NA,39.144,7.708,NA,39.144,7.708,NA
"4",1,4,"f",42.952,3.12,10.452,42.952,3.12,NA,42.952,3.12,NA,42.952,3.12,NA,42.952,3.12,NA
"5",1,5,"f",24.96,21.164,0,41.86,4.264,NA,35.828,10.296,NA,35.828,10.296,NA,35.828,10.296,NA
"6",1,6,"f",24.752,13.208,0,27.3,10.66,NA,27.3,10.66,NA,27.3,10.66,NA,27.3,10.66,NA
"7",1,7,"f",32.032,14.248,0,40.248,6.032,NA,40.248,6.032,NA,37.336,8.944,NA,32.032,14.248,NA
"8",1,8,"f",39.624,6.552,0,41.808,4.368,NA,39.624,6.552,NA,39.624,6.552,NA,39.624,6.552,NA
"9",1,9,"t",18.199,2.756,9.672,18.199,2.756,NA,18.199,2.756,NA,18.199,2.756,NA,18.199,2.756,NA
"10",1,10,"t",8.632,9.1,0,11.44,6.292,NA,11.44,6.292,NA,11.44,6.292,NA,11.44,6.292,NA
"11",1,11,"t",15.392,20.384,0,29.276,6.5,NA,29.276,6.5,NA,29.276,6.5,NA,29.276,6.5,NA
"12",1,12,"t",8.008,18.824,0,18.668,8.164,NA,18.668,8.164,NA,18.668,8.164,NA,18.668,8.164,NA
