"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",29.839,11.632,0,29.839,11.632,NA,29.839,11.632,NA,29.839,11.632,NA,29.839,11.632,NA
"2",1,2,"f",39.468,0,4.144,39.468,0,NA,39.468,0,NA,39.468,0,NA,39.468,0,NA
"3",1,3,"f",20.222,6.772,0,20.222,6.772,NA,20.222,6.772,NA,20.222,6.772,NA,20.222,6.772,NA
"4",1,4,"f",19.338,4.686,0,19.338,4.686,NA,19.338,4.686,NA,19.338,4.686,NA,19.338,4.686,NA
"5",1,5,"f",19.545,5.205,0,19.545,5.205,NA,19.545,5.205,NA,19.545,5.205,NA,19.545,5.205,NA
"6",1,6,"f",6.963,4.917,0,6.963,4.917,NA,6.963,4.917,NA,6.963,4.917,NA,6.963,4.917,NA
"7",1,7,"f",9.636,3.168,0,9.636,3.168,NA,9.636,3.168,NA,9.636,3.168,NA,9.636,3.168,NA
"8",1,8,"t",4.554,4.059,0,4.554,4.059,NA,4.554,4.059,NA,4.554,4.059,NA,4.554,4.059,NA
"9",1,9,"t",9.768,3.234,0,9.768,3.234,NA,9.768,3.234,NA,9.768,3.234,NA,9.768,3.234,NA
"10",1,10,"t",13.002,2.706,0,13.002,2.706,NA,13.002,2.706,NA,13.002,2.706,NA,13.002,2.706,NA
"11",1,11,"t",6.435,1.389,0,6.435,1.389,NA,6.435,1.389,NA,6.435,1.389,NA,6.435,1.389,NA
