"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",4.14,0,0,4.14,0,0,4.14,0,0,4.14,0,0,4.14,0,0
"2",1,2,"f",29.818,1.294,0,29.818,1.294,0,29.818,1.294,0,29.818,1.294,0,29.818,1.294,0
"3",1,3,"t",16.304,7.733,0,15.888,7.733,0,15.888,7.733,0,15.888,7.733,0,15.888,7.733,0
"4",1,4,"e",0,0,23.872,0,0,23.872,0,0,23.872,0,0,23.872,0,0,23.872
"5",1,5,"t",42.523,2.694,0,13.019,2.694,0,13.019,2.694,0,13.019,2.694,0,13.019,2.694,0
"6",1,6,"a",4.934,0,0,4.934,0,0,4.934,0,0,4.934,0,0,4.934,0,0
"7",1,7,"f",33.667,5.212,0,23.764,1.644,0,33.667,5.212,0,33.667,5.212,0,33.667,5.212,0
"8",1,8,"t",19.526,16.902,0,15.538,8.398,0,15.538,8.398,0,15.538,8.398,0,15.538,8.398,0
"9",1,9,"a",7.593,2.694,0,4.269,2.694,0,4.269,2.694,0,4.269,2.694,0,4.269,2.694,0
"10",1,10,"f",26.422,6.963,0,13.754,5.074,0,13.754,5.074,0,13.754,5.074,0,13.754,5.074,0
"11",1,11,"t",42.872,4.373,0,17.218,4.373,0,17.218,4.373,0,17.218,4.373,0,17.218,4.373,0
"12",1,12,"a",4.374,0,0,4.374,0,0,4.374,0,0,4.374,0,0,4.374,0,0
"13",1,13,"f",34.264,0,0,34.264,0,0,34.264,0,0,34.264,0,0,34.264,0,0
"14",1,14,"t",32.407,18.652,0,15.224,4.584,0,15.224,4.584,0,15.224,4.584,0,15.224,4.584,0
