"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.794,0,0,3.794,0,0,3.794,0,0,3.794,0,0,3.794,0,0
"2",1,2,"f",26.11,6.117,0,7.786,3.841,0,7.786,3.841,0,7.786,3.841,0,7.786,3.841,0
"3",1,3,"t",38.177,9.142,0,6.493,5.541,0,6.493,5.541,0,6.493,5.541,0,6.493,5.541,0
"4",1,4,"a",3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0,3.977,0,0
"5",1,5,"f",25.022,5.744,0,12.477,4.079,0,12.477,4.079,0,12.477,4.079,0,12.477,4.079,0
"6",1,6,"t",39.5,15.972,0,22.301,5.811,0,22.301,5.811,0,22.301,5.811,0,22.301,5.811,0
"7",1,7,"a",4.725,0,0,4.725,0,0,4.725,0,0,4.725,0,0,4.725,0,0
"8",1,8,"f",31.682,9.447,0,5.269,2.379,0,5.269,2.379,0,5.269,2.379,0,5.269,2.379,0
"9",1,9,"t",38.856,8.155,0,5.133,1.597,0,5.133,1.597,0,5.133,1.597,0,5.133,1.597,0
"10",1,10,"a",3.637,0,0,3.637,0,0,3.637,0,0,3.637,0,0,3.637,0,0
"11",1,11,"f",30.629,7.68,0,14.38,2.684,0,29.95,7.68,0,29.95,7.68,0,29.95,7.68,0
"12",1,12,"t",42.596,11.895,0,6.289,2.617,0,6.289,2.617,0,6.289,2.617,0,24.07,5.642,0
"13",1,13,"a",8.465,0,0,8.465,0,0,8.465,0,0,8.465,0,0,8.465,0,0
"14",1,14,"f",17.848,13.87,0,3.535,2.787,0,3.535,2.787,0,3.535,2.787,0,17.848,13.87,0
"15",1,15,"t",17.912,29.472,0,5.133,1.869,0,6.73,5.71,0,6.73,5.71,0,6.73,5.71,0
"16",1,16,"a",3.637,0,0,3.637,0,0,3.637,0,0,3.637,0,0,3.637,0,0
"17",1,17,"f",26.891,4.451,0,7.002,2.888,0,7.002,2.888,0,7.002,2.888,0,7.002,2.888,0
"18",1,18,"t",18.353,27.395,0,3.943,8.091,0,3.943,8.091,0,3.943,8.091,0,3.943,8.091,0
