"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",4.121,0,0,4.121,0,0,4.121,0,0,4.121,0,0,4.121,0,0
"2",1,2,"f",34.22,0,0,34.22,0,0,34.22,0,0,34.22,0,0,34.22,0,0
"3",1,3,"t",29.466,18.412,0,20.624,8.018,0,20.624,8.018,0,20.624,8.018,0,20.624,8.018,0
"4",1,4,"a",2.507,1.583,0,2.507,1.583,0,2.507,1.583,0,2.507,1.583,0,2.507,1.583,0
"5",1,5,"f",30.621,11.112,0,11.945,4.982,0,11.945,4.982,0,11.945,4.982,0,11.945,4.982,0
"6",1,6,"t",34.915,15.77,0,12.644,5.147,0,12.644,5.147,0,12.644,5.147,0,12.644,5.147,0
"7",1,7,"a",9.635,0,0,9.635,0,0,9.635,0,0,9.635,0,0,9.635,0,0
"8",1,8,"f",30.16,3.53,0,28.973,3.53,0,28.973,3.53,0,28.973,3.53,0,28.973,3.53,0
"9",1,9,"t",28.887,19.376,0,7.378,4.401,0,7.378,4.401,0,7.378,4.401,0,7.378,4.401,0
"10",1,10,"a",4.454,0,0,4.454,0,0,4.454,0,0,4.454,0,0,4.454,0,0
"11",1,11,"f",34.512,0,0,34.512,0,0,34.512,0,0,34.512,0,0,34.512,0,0
"12",1,12,"t",31.482,17.32,0,9.508,3.266,0,9.508,3.266,0,9.508,3.266,0,9.508,3.266,0
"13",1,13,"a",12.537,3.728,0,2.539,3.728,0,2.539,3.728,0,2.539,3.728,0,2.539,3.728,0
"14",1,14,"f",16.4,14.255,0,16.4,14.255,0,16.4,14.255,0,16.4,14.255,0,16.4,14.255,0
"15",1,15,"t",11.349,36.098,0,4.718,3.166,0,8.545,33.954,0,8.545,33.954,0,8.545,33.954,0
"16",1,16,"a",4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0
"17",1,17,"f",16.764,22.465,0,10.299,8.707,0,10.299,8.707,0,10.299,8.707,0,10.299,8.707,0
"18",1,18,"t",23.478,22.492,0,13.595,4.949,0,13.595,4.949,0,13.595,4.949,0,13.595,4.949,0
