"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"f",39.245,6.266,0,41.239,4.272,0,41.239,4.272,0,41.239,4.272,0,41.239,4.272,0
"2",1,2,"f",41.594,3.917,0,41.594,3.917,0,41.594,3.917,0,41.594,3.917,0,41.594,3.917,0
"3",1,3,"f",38.558,7.237,0,41.807,3.988,0,41.807,3.988,0,41.807,3.988,0,41.807,3.988,0
"4",1,4,"f",27.455,18.34,0,40.742,5.053,0,38.47,7.325,0,31.432,14.363,0,31.432,14.363,0
"5",1,5,"f",27.475,18.462,0,40.328,5.609,0,40.328,5.609,0,40.328,5.609,0,40.328,5.609,0
"6",1,6,"f",22.081,21.158,0,39.192,4.047,0,39.192,4.047,0,39.192,4.047,0,33.725,9.514,0
"7",1,7,"f",2.479,9.165,0,2.479,9.165,0,2.479,9.165,0,2.479,9.165,0,2.479,9.165,0
"8",1,8,"f",6.887,8.023,0,8.165,6.745,0,8.165,6.745,0,8.165,6.745,0,8.165,6.745,0
"9",1,9,"t",19.738,27.187,0,41.458,5.467,0,41.458,5.467,0,41.458,5.467,0,38.121,8.804,0
"10",1,10,"t",8.934,14.78,0,18.596,5.118,0,18.596,5.118,0,18.596,5.118,0,18.596,5.118,0
