"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.964,0,0,3.964,0,0,3.964,0,0,3.964,0,0,3.964,0,0
"2",1,2,"f",32.843,0,0,32.843,0,0,32.843,0,0,32.843,0,0,32.843,0,0
"3",1,3,"t",51.713,0,0,51.713,0,0,51.713,0,0,51.713,0,0,51.713,0,0
"4",1,4,"a",3.671,0,0,3.671,0,0,3.671,0,0,3.671,0,0,3.671,0,0
"5",1,5,"f",39.846,1.427,0,39.846,1.427,0,39.846,1.427,0,39.846,1.427,0,39.846,1.427,0
"6",1,6,"t",48.482,1.699,0,35.257,1.699,0,35.257,1.699,0,35.257,1.699,0,35.257,1.699,0
"7",1,7,"a",9.587,0,0,9.587,0,0,9.587,0,0,9.587,0,0,9.587,0,0
"8",1,8,"f",33.352,0.951,0,33.352,0.951,0,33.352,0.951,0,33.352,0.951,0,33.352,0.951,0
"9",1,9,"t",46.681,0.645,0,46.681,0.645,0,46.681,0.645,0,46.681,0.645,0,46.681,0.645,0
"10",1,10,"a",3.705,0,0,3.705,0,0,3.705,0,0,3.705,0,0,3.705,0,0
"11",1,11,"f",37.026,0,0,37.026,0,0,37.026,0,0,37.026,0,0,37.026,0,0
"12",1,12,"t",49.433,2.787,0,45.558,2.787,0,45.558,2.787,0,45.558,2.787,0,45.558,2.787,0
"13",1,13,"a",20.806,3.025,0,5.575,3.025,0,5.575,3.025,0,5.575,3.025,0,5.575,3.025,0
"14",1,14,"t",32.06,1.053,0,32.06,1.053,0,32.06,1.053,0,32.06,1.053,0,32.06,1.053,0
"15",1,15,"a",43.212,2.583,0,38.555,2.583,0,38.555,2.583,0,38.555,2.583,0,38.555,2.583,0
"16",1,16,"a",3.773,0,0,3.773,0,0,3.773,0,0,3.773,0,0,3.773,0,0
"17",1,17,"f",32.84,6.899,0,11.865,2.719,0,11.865,2.719,0,11.865,2.719,0,11.865,2.719,0
"18",1,18,"t",29.235,16.605,0,10.981,1.597,0,12.476,4.282,0,12.476,4.282,0,21.383,10.197,0
