"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",5.337,0,0,5.337,0,0,5.337,0,0,5.337,0,0,5.337,0,0
"2",1,2,"f",30.699,2.004,0,30.699,2.004,0,30.699,2.004,0,30.699,2.004,0,30.699,2.004,0
"3",1,3,"t",30.155,17.507,0,8.839,3.501,0,8.839,3.501,0,8.839,3.501,0,8.839,3.501,0
"4",1,4,"a",3.263,0,0,3.263,0,0,3.263,0,0,3.263,0,0,3.263,0,0
"5",1,5,"f",10.809,20.771,0,4.861,6.595,0,4.861,6.595,0,4.861,6.595,0,4.861,6.595,0
"6",1,6,"t",14.448,33.455,0,14.075,33.455,0,14.075,33.455,0,14.075,33.455,0,14.075,33.455,0
"7",1,7,"a",11.321,0,0,11.321,0,0,11.321,0,0,11.321,0,0,11.321,0,0
"8",1,8,"f",29.34,4.895,0,28.831,4.895,0,28.831,4.895,0,28.831,4.895,0,28.831,4.895,0
"9",1,9,"t",16.725,30.258,0,2.991,10.845,0,2.991,10.845,0,2.991,10.845,0,2.991,10.845,0
"10",1,10,"a",1.155,3.399,0,1.155,3.399,0,1.155,3.399,0,1.155,3.399,0,1.155,3.399,0
"11",1,11,"f",23.628,15.128,0,14.585,3.161,0,14.585,3.161,0,14.585,3.161,0,14.585,3.161,0
"12",1,12,"t",37.159,11.082,0,16.047,5.881,0,16.047,5.881,0,16.047,5.881,0,16.047,5.881,0
"13",1,13,"a",25.532,2.379,0,3.331,2.379,0,3.331,2.379,0,3.331,2.379,0,3.331,2.379,0
"14",1,14,"f",18.697,13.598,0,5.812,13.598,0,5.812,13.598,0,5.812,13.598,0,5.812,13.598,0
"15",1,15,"t",22.199,25.055,0,5.779,5.507,0,5.779,5.507,0,5.779,5.507,0,5.779,5.507,0
"16",1,16,"a",3.463,1.189,0,3.463,1.189,0,3.463,1.189,0,3.463,1.189,0,3.463,1.189,0
"17",1,17,"f",7.483,22.915,0,7.483,22.915,0,7.483,22.915,0,7.483,22.915,0,7.483,22.915,0
"18",1,18,"t",12.916,33.07,0,6.595,13.701,0,6.595,13.701,0,6.595,13.701,0,6.595,13.701,0
