"","Session Number","Trial Number","Trial Type","Looks On Total (s)","Looks Off Total (s)","Looks Error Total (s)","Looks On 1500 (s)","Looks Off 1500 (s)","Looks Error 1500 (s)","Looks On 2000 (s)","Looks Off 2000 (s)","Looks Error 2000 (s)","Looks On 2500 (s)","Looks Off 2500 (s)","Looks Error 2500 (s)","Looks On 3000 (s)","Looks Off 3000 (s)","Looks Error 3000 (s)"
"1",1,1,"a",3.676,0,0,3.676,0,0,3.676,0,0,3.676,0,0,3.676,0,0
"2",1,2,"f",31.415,0,0,31.415,0,0,31.415,0,0,31.415,0,0,31.415,0,0
"3",1,3,"t",27.813,18.97,0,10.064,5.081,0,10.064,5.081,0,10.064,5.081,0,10.064,5.081,0
"4",1,4,"a",4.289,0,0,4.289,0,0,4.289,0,0,4.289,0,0,4.289,0,0
"5",1,5,"f",32.205,6.598,0,14.42,2.012,0,14.42,2.012,0,21.349,6.598,0,21.349,6.598,0
"6",1,6,"t",35.273,14.22,0,19.535,7.325,0,19.535,7.325,0,19.535,7.325,0,19.535,7.325,0
"7",1,7,"a",4.454,3.365,0,4.454,3.365,0,4.454,3.365,0,4.454,3.365,0,4.454,3.365,0
"8",1,8,"f",34.583,0,0,34.583,0,0,34.583,0,0,34.583,0,0,34.583,0,0
"9",1,9,"t",33.061,11.216,0,12.604,7.027,0,12.604,7.027,0,12.604,7.027,0,12.604,7.027,0
"10",1,10,"a",4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0,4.355,0,0
"11",1,11,"f",30.192,4.189,0,15.575,2.507,0,15.575,2.507,0,15.575,2.507,0,15.575,2.507,0
"12",1,12,"t",7.126,32.8,0,1.946,31.712,0,1.946,31.712,0,1.946,31.712,0,1.946,31.712,0
